timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
1750867814354,2.52189,4.87849,0,1.74689,-0.031506,0,2.84689,3636
1750867814399,2.54613,4.01352,0,1.77113,-0.89648,0,2.87113,3636
1750867814452,3.10761,4.10291,0,2.33261,-0.807094,0,3.43261,3636
1750867814506,2.9976,3.61243,0,2.2226,-1.29757,0,3.3226,3636
1750867814552,3.24215,3.42249,0,2.46715,-1.48751,0,3.56715,3636
1750867814701,4.03017,2.8353,0,3.25517,-2.0747,0,4.35517,3636
1750867814751,4.2877,2.80176,0,3.5127,-2.10824,0,4.6127,3636
1750867814805,4.57079,2.71479,0,3.79579,-2.19521,0,4.89579,3636
1750867814853,4.43936,2.36978,0,3.66436,-2.54022,0,4.76436,3636
1750867814954,4.44302,1.83454,0,3.66802,-3.07546,0,4.76802,3636
1750867815006,4.29489,1.63408,0,3.51989,-3.27592,0,4.61989,3636
1750867815054,4.55552,1.52632,0,3.78052,-3.38368,0,4.88052,3636
1750867815105,4.76186,1.38322,0,3.98686,-3.52678,0,5.08686,3636
1750867815154,4.59975,1.00115,0,3.82475,-3.90885,0,4.92475,3636
1750867815202,4.13339,0.776355,0,3.35839,-4.13365,0,4.45839,3636
1750867815252,4.02719,0.608093,0,3.25219,-4.30191,0,4.35219,3636
1750867815303,3.81618,0.323319,0,3.04118,-4.58668,0,4.14118,3636
1750867815351,3.77809,0.0903246,0,3.00309,-4.81968,0,4.10309,3636
1750867815403,3.37307,0.0349798,0,2.59807,-4.87502,0,3.69807,3636
1750867815456,3.25513,-0.305918,0,2.48013,-5.21592,0,3.58013,3636
1750867815503,3.16851,-0.441609,0,2.39351,-5.35161,0,3.49351,3636
1750867815557,2.59523,-0.630717,0,1.82023,-5.54072,0,2.92023,3636
1750867815606,2.24181,-0.836404,0,1.46681,-5.7464,0,2.56681,3636
1750867815654,1.81153,-0.975682,0,1.03653,-5.88568,0,2.13653,3636
1750867815704,1.55113,-1.22654,0,0.776128,-6.13654,0,1.87613,3636
1750867815753,1.09603,-1.40705,0,0.321026,-6.31705,0,1.42103,3636
1750867815855,0.415818,-1.79229,0,-0.359182,-6.70229,0,0.740818,3636
1750867815904,-0.0989026,-1.94626,0,-0.873903,-6.85626,0,0.226097,3636
1750867815957,-0.0455317,-2.02451,0,-0.820532,-6.93451,0,0.279468,3636
1750867816060,0.681661,-2.24181,0,-0.0933394,-7.15181,0,1.00666,3636
1750867816105,1.17144,-2.4706,0,0.396437,-7.3806,0,1.49644,3636
1750867816158,1.40672,-2.60845,0,0.631721,-7.51845,0,1.73172,3636
1750867816209,1.65444,-2.84534,0,0.879436,-7.75534,0,1.97944,3636
1750867816255,1.9528,-2.84163,0,1.1778,-7.75163,0,2.2778,3636
1750867816307,2.14122,-2.88873,0,1.36622,-7.79873,0,2.46622,3636
1750867816357,2.35642,-3.21161,0,1.58142,-8.12161,0,2.68142,3636
1750867816506,2.47964,-3.05731,0,1.70464,-7.96731,0,2.80464,3636
1750867816567,2.89027,-3.56857,0,2.11527,-8.47857,0,3.21527,3636
1750867816611,3.02042,-3.58385,0,2.24542,-8.49385,0,3.34542,3636
1750867816658,2.71553,-3.33359,0,1.94053,-8.24359,0,3.04053,3636
1750867816708,3.11865,-4.03479,0,2.34365,-8.94479,0,3.44365,3636
1750867816760,2.76502,-3.67977,0,1.99002,-8.58977,0,3.09002,3636
1750867816807,3.07757,-4.15224,0,2.30257,-9.06224,0,3.40257,3636
1750867816860,2.71709,-3.97559,0,1.94209,-8.88559,0,3.04209,3636
1750867816906,2.91169,-4.24357,0,2.13669,-9.15357,0,3.23669,3636
1750867816958,2.76334,-4.41332,0,1.98834,-9.32332,0,3.08834,3636
