timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
1750867748724,2.25716,4.09966,0,1.48216,-0.810339,0,2.58216,3636
1750867748779,2.84232,4.45607,0,2.06732,-0.453926,0,3.16732,3636
1750867748825,3.13801,4.11739,0,2.36301,-0.792613,0,3.46301,3636
1750867748877,3.23801,3.85783,0,2.46301,-1.05217,0,3.56301,3636
1750867748925,3.30845,3.41052,0,2.53345,-1.49948,0,3.63345,3636
1750867749073,4.05661,2.92723,0,3.28161,-1.98277,0,4.38161,3636
1750867749126,4.03863,2.54647,0,3.26363,-2.36353,0,4.36363,3636
1750867749178,3.95533,2.38555,0,3.18033,-2.52445,0,4.28033,3636
1750867749226,4.07568,2.11101,0,3.30068,-2.79899,0,4.40068,3636
1750867749279,4.38065,1.92176,0,3.60565,-2.98824,0,4.70565,3636
1750867749329,4.21031,1.80404,0,3.43531,-3.10596,0,4.53531,3636
1750867749376,4.24288,1.47811,0,3.46788,-3.43189,0,4.56788,3636
1750867749426,4.3214,1.42029,0,3.5464,-3.48971,0,4.6464,3636
1750867749476,4.02592,1.22981,0,3.25092,-3.68019,0,4.35092,3636
1750867749528,4.22956,0.944197,0,3.45456,-3.9658,0,4.55456,3636
1750867749577,4.02699,0.74587,0,3.25199,-4.16413,0,4.35199,3636
1750867749629,3.87673,0.581828,0,3.10173,-4.32817,0,4.20173,3636
1750867749678,3.71922,0.28648,0,2.94422,-4.62352,0,4.04422,3636
1750867749727,3.39379,0.194808,0,2.61879,-4.71519,0,3.71879,3636
1750867749777,3.29168,-0.0167626,0,2.51668,-4.92676,0,3.61668,3636
1750867749827,3.10606,-0.239737,0,2.33106,-5.14974,0,3.43106,3636
1750867749879,2.6989,-0.51038,0,1.9239,-5.42038,0,3.0239,3636
1750867749926,2.43601,-0.66122,0,1.66101,-5.57122,0,2.76101,3636
1750867749982,2.18791,-0.845807,0,1.41291,-5.75581,0,2.51291,3636
1750867750038,1.75843,-1.01582,0,0.983425,-5.92582,0,2.08343,3636
1750867750077,1.32837,-1.19486,0,0.553372,-6.10486,0,1.65337,3636
1750867750130,1.01042,-1.38097,0,0.235421,-6.29097,0,1.33542,3636
1750867750226,0.201975,-1.88502,0,-0.573025,-6.79502,0,0.526975,3636
1750867750287,-0.276757,-2.03364,0,-1.05176,-6.94364,0,0.0482429,3636
1750867750328,0.094488,-2.14645,0,-0.680512,-7.05645,0,0.419488,3636
1750867750432,0.940097,-2.38932,0,0.165097,-7.29932,0,1.2651,3636
1750867750484,1.16176,-2.62734,0,0.386761,-7.53734,0,1.48676,3636
1750867750528,1.50732,-2.69383,0,0.732317,-7.60383,0,1.83232,3636
1750867750581,1.6992,-2.91397,0,0.9242,-7.82397,0,2.0242,3636
1750867750630,1.9376,-3.02176,0,1.1626,-7.93176,0,2.2626,3636
1750867750681,1.99409,-2.92413,0,1.21909,-7.83413,0,2.31909,3636
1750867750728,2.36479,-3.22375,0,1.58979,-8.13375,0,2.68979,3636
1750867750778,2.48483,-3.43318,0,1.70983,-8.34318,0,2.80983,3636
1750867750840,2.52048,-3.42099,0,1.74548,-8.33099,0,2.84548,3636
1750867750882,2.70151,-3.76848,0,1.92651,-8.67848,0,3.02651,3636
1750867750933,2.9358,-4.14304,0,2.1608,-9.05304,0,3.2608,3636
1750867750981,2.95035,-4.09653,0,2.17535,-9.00653,0,3.27535,3636
