frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v,rpm
1940,1750951734312,-999.0,-999.0,816.0,873.25,3131
1941,1750951734363,-999.0,-999.0,815.5,874.0,3131
1942,1750951734412,-999.0,-999.0,815.0,873.25,3131
1943,1750951734467,-999.0,-999.0,816.5,874.0,3131
1944,1750951734512,-999.0,-999.0,816.0,874.75,3131
1945,1750951734571,-999.0,-999.0,815.75,874.5,3131
1946,1750951734613,-999.0,-999.0,816.0,874.0,3131
1947,1750951734662,-999.0,-999.0,815.25,874.5,3131
1948,1750951734713,-999.0,-999.0,815.75,873.5,3131
1949,1750951734775,-999.0,-999.0,816.5,874.0,3131
1950,1750951734818,-999.0,-999.0,816.75,873.25,3131
1951,1750951734863,-999.0,-999.0,815.75,873.0,3131
1952,1750951734913,-999.0,-999.0,816.75,873.75,3131
1953,1750951734965,-999.0,-999.0,816.0,874.5,3131
1954,1750951735014,-999.0,-999.0,817.0,873.5,3131
1955,1750951735066,-999.0,-999.0,816.5,873.0,3131
1956,1750951735114,-999.0,-999.0,816.25,873.5,3131
1957,1750951735164,-999.0,-999.0,816.75,873.75,3131
1958,1750951735213,-999.0,-999.0,816.0,873.75,3131
1959,1750951735264,-999.0,-999.0,816.0,873.5,3131
1960,1750951735332,-999.0,-999.0,817.0,874.75,3131
1961,1750951735374,-999.0,-999.0,816.25,874.75,3131
1962,1750951735419,-999.0,-999.0,815.75,874.75,3131
1963,1750951735466,-999.0,-999.0,815.75,872.25,3131
1964,1750951735514,-999.0,-999.0,817.75,874.0,3131
1965,1750951735566,-999.0,-999.0,816.75,874.25,3131
1966,1750951735615,-999.0,-999.0,816.0,874.0,3131
1967,1750951735665,-999.0,-999.0,816.0,873.5,3131
1968,1750951735715,-999.0,-999.0,815.5,874.25,3131
1969,1750951735766,-999.0,-999.0,816.5,874.5,3131
1970,1750951735816,-999.0,-999.0,815.75,874.0,3131
1971,1750951735869,-999.0,-999.0,815.25,873.5,3131
1972,1750951735916,-999.0,-999.0,816.25,875.0,3131
1973,1750951735965,-999.0,-999.0,816.25,873.5,3131
1974,1750951736020,-999.0,-999.0,817.25,873.5,3131
1975,1750951736066,-999.0,-999.0,816.75,874.5,3131
1976,1750951736124,-999.0,-999.0,816.75,874.0,3131
1977,1750951736167,-999.0,-999.0,816.75,873.25,3131
1978,1750951736217,-999.0,-999.0,815.25,873.25,3131
1979,1750951736266,-999.0,-999.0,817.5,873.5,3131
1980,1750951736317,-999.0,-999.0,816.0,874.75,3131
1981,1750951736367,-999.0,-999.0,815.75,874.5,3131
1982,1750951736417,-999.0,-999.0,815.25,872.75,3131
1983,1750951736468,-999.0,-999.0,816.0,874.0,3131
1984,1750951736516,-999.0,-999.0,816.0,873.75,3131
1985,1750951736567,-999.0,-999.0,816.5,874.5,3131
1986,1750951736617,-999.0,-999.0,815.5,872.25,3131
1987,1750951736668,-999.0,-999.0,816.75,874.5,3131
1988,1750951736718,-999.0,-999.0,817.0,874.0,3131
1989,1750951736767,-999.0,-999.0,816.0,874.25,3131
1990,1750951736818,-999.0,-999.0,816.0,874.25,3131
1991,1750951736868,-999.0,-999.0,816.25,874.25,3131
1992,1750951736919,-999.0,-999.0,815.0,875.25,3131
1993,1750951736971,-999.0,-999.0,816.5,873.5,3131
1994,1750951737021,-999.0,-999.0,817.0,873.5,3131
1995,1750951737069,-999.0,-999.0,815.75,874.0,3131
1996,1750951737119,-999.0,-999.0,816.25,874.75,3131
1997,1750951737170,-999.0,-999.0,815.75,873.25,3131
1998,1750951737220,-999.0,-999.0,817.0,873.75,3131
1999,1750951737276,-999.0,-999.0,816.25,874.5,3131
2000,1750951737320,-999.0,-999.0,815.75,874.5,3131
2001,1750951737369,-999.0,-999.0,815.0,873.0,3131
2002,1750951737420,-999.0,-999.0,816.25,874.0,3131
2003,1750951737470,-999.0,-999.0,816.5,873.25,3131
2004,1750951737524,-999.0,-999.0,816.25,874.0,3131
2005,1750951737571,-999.0,-999.0,816.25,873.75,3131
2006,1750951737621,-999.0,-999.0,816.5,873.0,3131
2007,1750951737671,-999.0,-999.0,817.0,873.25,3131
2008,1750951737720,-999.0,-999.0,817.0,874.0,3131
2009,1750951737772,-999.0,-999.0,816.5,873.75,3131
2010,1750951737821,-999.0,-999.0,816.5,873.5,3131
2011,1750951737874,-999.0,-999.0,816.0,873.5,3131
2012,1750951737921,-999.0,-999.0,816.0,873.0,3131
2013,1750951737972,-999.0,-999.0,817.0,874.25,3131
2014,1750951738021,-999.0,-999.0,815.25,873.75,3131
2015,1750951738075,-999.0,-999.0,816.5,874.25,3131
2016,1750951738122,-999.0,-999.0,815.5,873.5,3131
2017,1750951738171,-999.0,-999.0,815.75,873.75,3131
2018,1750951738224,-999.0,-999.0,816.25,872.75,3131
2019,1750951738272,-999.0,-999.0,816.0,874.25,3131
2020,1750951738324,-999.0,-999.0,816.75,874.0,3131
2021,1750951738373,-999.0,-999.0,816.0,874.25,3131
2022,1750951738423,-999.0,-999.0,816.25,873.25,3131
2023,1750951738473,-999.0,-999.0,815.25,874.75,3131
2024,1750951738529,-999.0,-999.0,816.25,874.25,3131
2025,1750951738573,-999.0,-999.0,817.25,874.0,3131
2026,1750951738624,-999.0,-999.0,815.75,874.5,3131
2027,1750951738673,-999.0,-999.0,816.25,874.25,3131
2028,1750951738724,-999.0,-999.0,817.25,873.75,3131
2029,1750951738773,-999.0,-999.0,816.5,874.5,3131
2030,1750951738826,-999.0,-999.0,815.75,873.25,3131
2031,1750951738874,-999.0,-999.0,816.0,873.25,3131
2032,1750951738926,-999.0,-999.0,815.25,873.75,3131
2033,1750951738974,-999.0,-999.0,815.75,873.5,3131
