frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v,rpm
1837,1750952249230,-999.0,-999.0,816.0,873.25,3939
1838,1750952249294,-999.0,-999.0,816.5,874.25,3939
1839,1750952249337,-999.0,-999.0,815.75,874.75,3939
1840,1750952249381,-999.0,-999.0,816.25,875.0,3939
1841,1750952249431,-999.0,-999.0,816.0,874.5,3939
1842,1750952249482,-999.0,-999.0,817.0,872.75,3939
1843,1750952249533,-999.0,-999.0,817.5,874.25,3939
1844,1750952249586,-999.0,-999.0,815.25,874.5,3939
1845,1750952249632,-999.0,-999.0,815.75,874.5,3939
1846,1750952249682,-999.0,-999.0,815.75,874.0,3939
1847,1750952249734,-999.0,-999.0,816.75,873.75,3939
1848,1750952249782,-999.0,-999.0,816.25,873.75,3939
1849,1750952249831,-999.0,-999.0,816.0,873.25,3939
1850,1750952249883,-999.0,-999.0,816.0,875.0,3939
1851,1750952249933,-999.0,-999.0,815.0,874.0,3939
1852,1750952249986,-999.0,-999.0,816.75,873.75,3939
1853,1750952250035,-999.0,-999.0,816.0,873.0,3939
1854,1750952250082,-999.0,-999.0,815.5,873.0,3939
1855,1750952250134,-999.0,-999.0,816.25,874.0,3939
1856,1750952250185,-999.0,-999.0,816.25,874.5,3939
1857,1750952250237,-999.0,-999.0,816.5,873.75,3939
1858,1750952250284,-999.0,-999.0,815.5,874.0,3939
1859,1750952250339,-999.0,-999.0,816.0,874.75,3939
1860,1750952250385,-999.0,-999.0,817.0,874.0,3939
1861,1750952250433,-999.0,-999.0,815.5,875.25,3939
1862,1750952250483,-999.0,-999.0,817.0,874.25,3939
1863,1750952250533,-999.0,-999.0,814.5,874.25,3939
1864,1750952250594,-999.0,-999.0,815.75,873.25,3939
1865,1750952250642,-999.0,-999.0,816.75,873.0,3939
1866,1750952250684,-999.0,-999.0,815.75,873.5,3939
1867,1750952250736,-999.0,-999.0,816.5,874.5,3939
1868,1750952250785,-999.0,-999.0,816.0,873.75,3939
1869,1750952250835,-999.0,-999.0,816.25,874.25,3939
1870,1750952250884,-999.0,-999.0,816.25,874.25,3939
1871,1750952250937,-999.0,-999.0,815.0,874.5,3939
1872,1750952250984,-999.0,-999.0,815.5,874.25,3939
1873,1750952251034,-999.0,-999.0,817.0,874.25,3939
1874,1750952251085,-999.0,-999.0,815.75,873.5,3939
1875,1750952251147,-999.0,-999.0,816.0,873.25,3939
1876,1750952251187,-999.0,-999.0,816.75,874.0,3939
1877,1750952251236,-999.0,-999.0,815.5,874.25,3939
1878,1750952251286,-999.0,-999.0,816.25,874.25,3939
1879,1750952251335,-999.0,-999.0,816.75,874.0,3939
