frame_id,timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
871,1750952034067,2.50126,4.30019,-5.47,1.72626,-0.699814,-0.1,2.82626,2525
872,1750952034117,2.30396,4.03251,-5.47,1.52896,-0.967489,-0.1,2.62896,2525
873,1750952034166,2.08802,4.06858,-5.47,1.31302,-0.931422,-0.1,2.41302,2525
874,1750952034224,2.35648,3.97913,-5.47,1.58148,-1.02087,-0.1,2.68148,2525
875,1750952034267,3.78208,3.43649,-5.47,3.00708,-1.56351,-0.1,4.10708,2525
876,1750952034318,2.76457,3.44253,-5.47,1.98957,-1.55747,-0.1,3.08957,2525
877,1750952034371,1.86539,3.17241,-5.47,1.09039,-1.82759,-0.1,2.19039,2525
878,1750952034418,4.54734,3.00772,-5.47,3.77234,-1.99228,-0.1,4.87234,2525
879,1750952034467,3.61193,2.3875,-5.47,2.83693,-2.6125,-0.1,3.93693,2525
880,1750952034518,3.86897,2.5524,-5.47,3.09397,-2.4476,-0.1,4.19397,2525
881,1750952034569,2.19266,3.25845,-5.47,1.41766,-1.74155,-0.1,2.51766,2525
882,1750952034617,2.26638,2.71642,-5.47,1.49138,-2.28358,-0.1,2.59138,2525
883,1750952034669,2.90247,1.39108,-5.47,2.12747,-3.60892,-0.1,3.22747,2525
884,1750952034723,3.54214,2.06439,-5.47,2.76714,-2.93561,-0.1,3.86714,2525
885,1750952034768,1.35757,2.2574,-5.47,0.582569,-2.7426,-0.1,1.68257,2525
886,1750952034820,1.13637,2.199,-5.47,0.361368,-2.801,-0.1,1.46137,2525
887,1750952034881,3.35255,1.81027,-5.47,2.57755,-3.18973,-0.1,3.67755,2525
888,1750952034924,2.25145,1.17974,-5.47,1.47645,-3.82026,-0.1,2.57645,2525
889,1750952034970,0.371467,1.77993,-5.47,-0.403533,-3.22007,-0.1,0.696467,2525
890,1750952035018,1.28872,0.781022,-5.47,0.513716,-4.21898,-0.1,1.61372,2525
891,1750952035071,-0.154438,1.64869,-5.47,-0.929438,-3.35131,-0.1,0.170562,2525
892,1750952035118,0.781322,0.566464,-5.47,0.0063222,-4.43354,-0.1,1.10632,2525
893,1750952035172,0.284718,1.47024,-5.47,-0.490282,-3.52976,-0.1,0.609718,2525
895,1750952035268,0.858743,1.85092,-5.47,0.0837431,-3.14908,-0.1,1.18374,2525
896,1750952035320,0.735484,1.12266,-5.47,-0.0395158,-3.87734,-0.1,1.06048,2525
897,1750952035369,1.00491,0.566124,-5.47,0.229912,-4.43388,-0.1,1.32991,2525
898,1750952035422,1.91605,-0.182707,-5.47,1.14105,-5.18271,-0.1,2.24105,2525
900,1750952035526,3.05932,0.00948865,-5.47,2.28432,-4.99051,-0.1,3.38432,2525
901,1750952035569,0.922515,0.310763,-5.47,0.147515,-4.68924,-0.1,1.24752,2525
902,1750952035623,1.31491,0.167737,-5.47,0.539913,-4.83226,-0.1,1.63991,2525
903,1750952035671,2.7667,-1.1833,-5.47,1.9917,-6.1833,-0.1,3.0917,2525
904,1750952035721,2.54322,-0.782382,-5.47,1.76822,-5.78238,-0.1,2.86822,2525
905,1750952035772,1.29001,0.124166,-5.47,0.515007,-4.87583,-0.1,1.61501,2525
