frame_id,timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
2039,1750951920018,2.27483,4.37748,-5.47,1.49983,-0.622518,-0.1,2.59983,2727
2040,1750951920066,2.747,3.54126,-5.47,1.972,-1.45874,-0.1,3.072,2727
2041,1750951920124,2.7551,4.08103,-5.47,1.9801,-0.918967,-0.1,3.0801,2727
2042,1750951920173,2.51228,3.81771,-5.47,1.73728,-1.18229,-0.1,2.83728,2727
2043,1750951920219,2.18312,3.78128,-5.47,1.40812,-1.21872,-0.1,2.50812,2727
2044,1750951920273,3.60052,2.65028,-5.47,2.82552,-2.34972,-0.1,3.92552,2727
2045,1750951920318,4.83025,3.35171,-5.47,4.05525,-1.64829,-0.1,5.15525,2727
2046,1750951920369,4.10151,2.69649,-5.47,3.32651,-2.30351,-0.1,4.42651,2727
2047,1750951920418,2.54518,2.84772,-5.47,1.77018,-2.15228,-0.1,2.87018,2727
2048,1750951920467,3.97894,1.91335,-5.47,3.20394,-3.08665,-0.1,4.30394,2727
2049,1750951920527,2.98478,2.98544,-5.47,2.20978,-2.01456,-0.1,3.30978,2727
2050,1750951920568,3.01815,3.14198,-5.47,2.24315,-1.85802,-0.1,3.34315,2727
2051,1750951920620,2.54427,3.0196,-5.47,1.76927,-1.9804,-0.1,2.86927,2727
2052,1750951920668,3.38907,1.16491,-5.47,2.61407,-3.83509,-0.1,3.71407,2727
2053,1750951920721,3.27662,1.44382,-5.47,2.50162,-3.55618,-0.1,3.60162,2727
2054,1750951920772,3.74497,1.40374,-5.47,2.96997,-3.59626,-0.1,4.06997,2727
2055,1750951920818,2.15675,1.00266,-5.47,1.38175,-3.99734,-0.1,2.48175,2727
2056,1750951920876,1.3752,1.46315,-5.47,0.600199,-3.53685,-0.1,1.7002,2727
2059,1750951921022,0.111288,1.11506,-5.47,-0.663712,-3.88494,-0.1,0.436288,2727
2060,1750951921071,0.331157,1.0715,-5.47,-0.443843,-3.9285,-0.1,0.656157,2727
2061,1750951921117,-0.0889595,0.654564,-5.47,-0.86396,-4.34544,-0.1,0.23604,2727
2063,1750951921217,-0.112999,0.46022,-5.47,-0.887999,-4.53978,-0.1,0.212001,2727
2064,1750951921269,1.45399,-0.485387,-5.47,0.678987,-5.48539,-0.1,1.77899,2727
2065,1750951921329,0.518828,0.439042,-5.47,-0.256172,-4.56096,-0.1,0.843828,2727
2066,1750951921376,0.413584,0.099223,-5.47,-0.361416,-4.90078,-0.1,0.738584,2727
2067,1750951921423,1.00164,0.322506,-5.47,0.226642,-4.67749,-0.1,1.32664,2727
2068,1750951921471,0.814748,-0.167253,-5.47,0.0397481,-5.16725,-0.1,1.13975,2727
2069,1750951921522,1.60998,0.513344,-5.47,0.834976,-4.48666,-0.1,1.93498,2727
2070,1750951921575,1.30806,-0.393861,-5.47,0.533059,-5.39386,-0.1,1.63306,2727
2071,1750951921623,3.23426,-0.53237,-5.47,2.45926,-5.53237,-0.1,3.55926,2727
2072,1750951921682,3.12441,-1.0898,-5.47,2.34941,-6.0898,-0.1,3.44941,2727
2073,1750951921723,2.7246,-1.65809,-5.47,1.9496,-6.65809,-0.1,3.0496,2727
2074,1750951921776,3.99059,-0.980313,-5.47,3.21559,-5.98031,-0.1,4.31559,2727
2075,1750951921821,3.47783,-1.00126,-5.47,2.70283,-6.00126,-0.1,3.80283,2727
2076,1750951921871,2.30129,-1.10737,-5.47,1.52629,-6.10737,-0.1,2.62629,2727
2077,1750951921928,2.98327,-2.11495,-5.47,2.20827,-7.11495,-0.1,3.30827,2727
2078,1750951921971,2.90803,-2.34861,-5.47,2.13303,-7.34861,-0.1,3.23303,2727
