frame_id,timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
1924,1750952253617,3.78257,4.08869,-5.47,3.00757,-0.911306,-0.1,4.10757,3939
1925,1750952253666,2.61099,4.04886,-5.47,1.83599,-0.951137,-0.1,2.93599,3939
1926,1750952253716,3.81948,3.38425,-5.47,3.04448,-1.61575,-0.1,4.14448,3939
1927,1750952253775,5.19116,3.66184,-5.47,4.41616,-1.33816,-0.1,5.51616,3939
1928,1750952253821,5.10257,3.20432,-5.47,4.32757,-1.79568,-0.1,5.42757,3939
1932,1750952254015,4.04845,3.30373,-5.47,3.27345,-1.69627,-0.1,4.37345,3939
1934,1750952254118,4.87603,1.21326,-5.47,4.10103,-3.78674,-0.1,5.20103,3939
1935,1750952254168,4.98246,1.20892,-5.47,4.20746,-3.79108,-0.1,5.30746,3939
1936,1750952254221,4.66638,1.49304,-5.47,3.89138,-3.50696,-0.1,4.99138,3939
1937,1750952254268,4.50608,2.01947,-5.47,3.73108,-2.98053,-0.1,4.83108,3939
1938,1750952254317,4.92738,0.677391,-5.47,4.15238,-4.32261,-0.1,5.25238,3939
1939,1750952254368,3.28394,1.23121,-5.47,2.50894,-3.76879,-0.1,3.60894,3939
1940,1750952254419,5.22965,0.350497,-5.47,4.45465,-4.6495,-0.1,5.55465,3939
1941,1750952254467,3.76222,0.979129,-5.47,2.98722,-4.02087,-0.1,4.08722,3939
1942,1750952254519,3.3562,0.846402,-5.47,2.5812,-4.1536,-0.1,3.6812,3939
1943,1750952254567,3.80899,0.562056,-5.47,3.03399,-4.43794,-0.1,4.13399,3939
1944,1750952254617,3.54931,0.705842,-5.47,2.77431,-4.29416,-0.1,3.87431,3939
1945,1750952254671,2.805,0.0885492,-5.47,2.03,-4.91145,-0.1,3.13,3939
1946,1750952254719,3.1486,-0.115029,-5.47,2.3736,-5.11503,-0.1,3.4736,3939
1947,1750952254769,2.12739,-0.461623,-5.47,1.35239,-5.46162,-0.1,2.45239,3939
1948,1750952254821,2.18666,-0.534715,-5.47,1.41166,-5.53471,-0.1,2.51166,3939
1949,1750952254869,3.57128,-1.36505,-5.47,2.79628,-6.36505,-0.1,3.89628,3939
1950,1750952254925,1.52694,-0.878457,-5.47,0.751936,-5.87846,-0.1,1.85194,3939
1951,1750952254970,1.43699,-1.0853,-5.47,0.661992,-6.0853,-0.1,1.76199,3939
1952,1750952255023,2.43441,-1.86268,-5.47,1.65941,-6.86268,-0.1,2.75941,3939
1953,1750952255073,0.615603,-1.52203,-5.47,-0.159397,-6.52203,-0.1,0.940603,3939
1955,1750952255171,0.13557,-1.97749,-5.47,-0.63943,-6.97749,-0.1,0.46057,3939
1956,1750952255220,0.634357,-3.3937,-5.47,-0.140643,-8.3937,-0.1,0.959357,3939
1957,1750952255274,-0.12036,-2.00751,-5.47,-0.89536,-7.00751,-0.1,0.20464,3939
1959,1750952255369,1.8731,-3.25076,-5.47,1.0981,-8.25076,-0.1,2.1981,3939
1960,1750952255422,2.10679,-3.42435,-5.47,1.33179,-8.42435,-0.1,2.43179,3939
1961,1750952255473,2.47764,-3.47497,-5.47,1.70264,-8.47497,-0.1,2.80264,3939
1962,1750952255524,2.74744,-3.88225,-5.47,1.97244,-8.88225,-0.1,3.07244,3939
1963,1750952255570,2.94794,-3.88493,-5.47,2.17294,-8.88493,-0.1,3.27294,3939
1964,1750952255623,3.86972,-3.81332,-5.47,3.09472,-8.81332,-0.1,4.19472,3939
1965,1750952255671,2.13785,-2.69321,-5.47,1.36285,-7.69321,-0.1,2.46285,3939
