frame_id,timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
942,1750951158914,2.34147,4.57658,-5.47,1.56647,-0.423425,-0.1,2.66647,2929
943,1750951159046,3.54813,3.01869,-5.47,2.77313,-1.98131,-0.1,3.87313,2929
944,1750951159179,3.98,2.54794,-5.47,3.205,-2.45206,-0.1,4.305,2929
945,1750951159304,2.3137,2.46045,-5.47,1.5387,-2.53955,-0.1,2.6387,2929
947,1750951159555,3.93922,1.35015,-5.47,3.16422,-3.64985,-0.1,4.26422,2929
948,1750951159681,2.26045,2.17746,-5.47,1.48545,-2.82254,-0.1,2.58545,2929
950,1750951159930,0.652093,1.10054,-5.47,-0.122907,-3.89946,-0.1,0.977093,2929
951,1750951160058,0.187186,0.599993,-5.47,-0.587814,-4.40001,-0.1,0.512186,2929
953,1750951160323,0.806884,0.0526096,-5.47,0.031884,-4.94739,-0.1,1.13188,2929
954,1750951160447,1.8343,0.225786,-5.47,1.0593,-4.77421,-0.1,2.1593,2929
955,1750951160573,1.99698,-0.796446,-5.47,1.22198,-5.79645,-0.1,2.32198,2929
956,1750951160698,1.75452,-0.842249,-5.47,0.979518,-5.84225,-0.1,2.07952,2929
957,1750951160830,1.66982,-1.22341,-5.47,0.894817,-6.22341,-0.1,1.99482,2929
958,1750951160954,1.725,-1.24945,-5.47,0.949997,-6.24945,-0.1,2.05,2929
959,1750951161090,1.51376,-1.79334,-5.47,0.738755,-6.79334,-0.1,1.83876,2929
961,1750951161344,0.71761,-2.21737,-5.47,-0.0573896,-7.21737,-0.1,1.04261,2929
962,1750951161468,0.672546,-4.24762,-5.47,-0.102454,-9.24762,-0.1,0.997546,2929
963,1750951161600,1.23772,-3.98906,-5.47,0.462716,-8.98906,-0.1,1.56272,2929
