frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v,rpm
162,1750951812456,-999.0,-999.0,814.75,874.25,2727
163,1750951812499,-999.0,-999.0,816.5,873.25,2727
164,1750951812549,-999.0,-999.0,816.0,873.0,2727
165,1750951812605,-999.0,-999.0,816.5,873.75,2727
166,1750951812648,-999.0,-999.0,816.25,873.75,2727
167,1750951812699,-999.0,-999.0,816.75,873.25,2727
168,1750951812748,-999.0,-999.0,815.75,874.25,2727
169,1750951812799,-999.0,-999.0,816.0,873.0,2727
170,1750951812849,-999.0,-999.0,816.25,874.25,2727
171,1750951812905,-999.0,-999.0,817.0,874.5,2727
172,1750951812949,-999.0,-999.0,816.0,873.25,2727
173,1750951813008,-999.0,-999.0,815.75,873.75,2727
174,1750951813049,-999.0,-999.0,815.25,874.5,2727
175,1750951813100,-999.0,-999.0,816.0,875.0,2727
176,1750951813150,-999.0,-999.0,815.0,874.5,2727
177,1750951813205,-999.0,-999.0,816.0,874.0,2727
178,1750951813251,-999.0,-999.0,815.5,874.25,2727
179,1750951813303,-999.0,-999.0,816.0,874.0,2727
180,1750951813350,-999.0,-999.0,816.5,875.25,2727
181,1750951813413,-999.0,-999.0,816.25,873.75,2727
182,1750951813451,-999.0,-999.0,816.0,873.75,2727
183,1750951813644,-999.0,-999.0,816.25,873.5,2727
184,1750951813767,-999.0,-999.0,815.25,873.5,2727
185,1750951813893,-999.0,-999.0,816.0,872.75,2727
186,1750951814019,-999.0,-999.0,815.5,874.25,2727
187,1750951814147,-999.0,-999.0,815.75,873.5,2727
188,1750951814276,-999.0,-999.0,816.0,873.75,2727
189,1750951814396,-999.0,-999.0,816.0,874.5,2727
190,1750951814519,-999.0,-999.0,817.25,874.0,2727
191,1750951814644,-999.0,-999.0,816.5,873.5,2727
192,1750951814770,-999.0,-999.0,816.25,873.75,2727
193,1750951814891,-999.0,-999.0,817.0,873.0,2727
194,1750951815012,-999.0,-999.0,815.0,874.5,2727
195,1750951815135,-999.0,-999.0,816.0,874.0,2727
196,1750951815261,-999.0,-999.0,815.75,874.5,2727
197,1750951815390,-999.0,-999.0,817.5,873.5,2727
198,1750951815512,-999.0,-999.0,817.0,875.75,2727
199,1750951815638,-999.0,-999.0,815.5,872.75,2727
200,1750951815767,-999.0,-999.0,816.25,874.0,2727
201,1750951815895,-999.0,-999.0,816.25,872.75,2727
202,1750951816021,-999.0,-999.0,815.0,874.0,2727
203,1750951816150,-999.0,-999.0,814.75,874.25,2727
204,1750951816277,-999.0,-999.0,816.75,875.0,2727
205,1750951816399,-999.0,-999.0,816.5,874.25,2727
206,1750951816520,-999.0,-999.0,815.25,875.25,2727
207,1750951816645,-999.0,-999.0,816.5,872.75,2727
208,1750951816773,-999.0,-999.0,816.0,875.0,2727
209,1750951816900,-999.0,-999.0,816.75,873.75,2727
210,1750951817025,-999.0,-999.0,817.0,874.75,2727
211,1750951817151,-999.0,-999.0,816.0,874.75,2727
212,1750951817277,-999.0,-999.0,816.25,874.25,2727
213,1750951817404,-999.0,-999.0,816.5,874.0,2727
214,1750951817530,-999.0,-999.0,816.0,874.75,2727
215,1750951817658,-999.0,-999.0,815.75,874.0,2727
216,1750951817792,-999.0,-999.0,816.0,873.0,2727
217,1750951817915,-999.0,-999.0,815.75,873.25,2727
218,1750951818038,-999.0,-999.0,815.75,875.0,2727
219,1750951818164,-999.0,-999.0,816.0,874.25,2727
220,1750951818286,-999.0,-999.0,816.0,874.25,2727
221,1750951818408,-999.0,-999.0,816.5,874.0,2727
222,1750951818538,-999.0,-999.0,817.0,873.75,2727
223,1750951818660,-999.0,-999.0,816.0,874.75,2727
224,1750951818786,-999.0,-999.0,815.75,873.75,2727
225,1750951818914,-999.0,-999.0,816.0,874.0,2727
226,1750951819035,-999.0,-999.0,816.5,874.5,2727
227,1750951819162,-999.0,-999.0,815.75,873.25,2727
228,1750951819290,-999.0,-999.0,817.25,874.75,2727
229,1750951819419,-999.0,-999.0,816.5,873.25,2727
230,1750951819542,-999.0,-999.0,817.0,873.75,2727
231,1750951819662,-999.0,-999.0,816.5,875.5,2727
232,1750951819789,-999.0,-999.0,816.0,874.25,2727
233,1750951819916,-999.0,-999.0,815.75,874.5,2727
234,1750951820040,-999.0,-999.0,818.0,875.0,2727
235,1750951820165,-999.0,-999.0,815.25,873.25,2727
236,1750951820288,-999.0,-999.0,816.25,874.0,2727
237,1750951820417,-999.0,-999.0,816.0,874.25,2727
238,1750951820539,-999.0,-999.0,816.0,874.0,2727
239,1750951820663,-999.0,-999.0,816.0,874.5,2727
240,1750951820786,-999.0,-999.0,815.25,874.25,2727
241,1750951820914,-999.0,-999.0,815.25,874.0,2727
242,1750951821036,-999.0,-999.0,816.25,873.0,2727
243,1750951821162,-999.0,-999.0,816.75,873.5,2727
244,1750951821284,-999.0,-999.0,816.25,874.5,2727
245,1750951821412,-999.0,-999.0,815.25,873.75,2727
246,1750951821536,-999.0,-999.0,816.0,873.75,2727
247,1750951821662,-999.0,-999.0,816.0,874.25,2727
248,1750951821794,-999.0,-999.0,815.5,873.75,2727
249,1750951821923,-999.0,-999.0,815.75,874.25,2727
