frame_id,timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
435,1750951837009,3.06854,3.27197,-5.47,2.29354,-1.72803,-0.1,3.39354,2727
436,1750951837141,2.64531,3.79865,-5.47,1.87031,-1.20135,-0.1,2.97031,2727
437,1750951837275,2.6535,3.22908,-5.47,1.8785,-1.77092,-0.1,2.9785,2727
438,1750951837410,2.73346,2.94547,-5.47,1.95846,-2.05453,-0.1,3.05846,2727
439,1750951837531,4.67565,2.1774,-5.47,3.90065,-2.8226,-0.1,5.00065,2727
440,1750951837654,1.84543,2.16779,-5.47,1.07043,-2.83221,-0.1,2.17043,2727
441,1750951837779,2.08375,2.72797,-5.47,1.30875,-2.27203,-0.1,2.40875,2727
443,1750951838040,1.83816,0.254238,-5.47,1.06316,-4.74576,-0.1,2.16316,2727
445,1750951838291,2.16582,-0.168637,-5.47,1.39082,-5.16864,-0.1,2.49082,2727
446,1750951838417,2.01887,-1.0408,-5.47,1.24387,-6.0408,-0.1,2.34387,2727
447,1750951838542,3.00792,-0.716457,-5.47,2.23292,-5.71646,-0.1,3.33292,2727
448,1750951838671,2.11838,-0.509584,-5.47,1.34338,-5.50958,-0.1,2.44338,2727
449,1750951838793,1.63882,-0.769785,-5.47,0.863816,-5.76979,-0.1,1.96382,2727
450,1750951838919,3.21421,-1.74126,-5.47,2.43921,-6.74126,-0.1,3.53921,2727
451,1750951839043,1.79423,-0.58079,-5.47,1.01923,-5.58079,-0.1,2.11923,2727
452,1750951839167,1.50627,-1.30481,-5.47,0.731268,-6.30481,-0.1,1.83127,2727
453,1750951839293,1.17918,-1.36724,-5.47,0.404175,-6.36724,-0.1,1.50418,2727
455,1750951839550,-0.203935,-2.2195,-5.47,-0.978935,-7.2195,-0.1,0.121065,2727
456,1750951839675,0.598054,-2.5476,-5.47,-0.176946,-7.5476,-0.1,0.923054,2727
457,1750951839801,1.98578,-3.74675,-5.47,1.21078,-8.74675,-0.1,2.31078,2727
