frame_id,timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
1244,1750951880159,2.45371,4.42254,-5.47,1.67871,-0.577456,-0.1,2.77871,2727
1245,1750951880210,2.3057,4.02288,-5.47,1.5307,-0.977119,-0.1,2.6307,2727
1246,1750951880258,2.49022,4.27287,-5.47,1.71522,-0.727128,-0.1,2.81522,2727
1247,1750951880311,2.46844,3.41729,-5.47,1.69344,-1.58271,-0.1,2.79344,2727
1248,1750951880357,4.53067,3.34673,-5.47,3.75567,-1.65327,-0.1,4.85567,2727
1249,1750951880410,2.55744,3.44105,-5.47,1.78244,-1.55895,-0.1,2.88244,2727
1250,1750951880459,3.85289,2.04947,-5.47,3.07789,-2.95053,-0.1,4.17789,2727
1251,1750951880516,2.67584,2.97518,-5.47,1.90084,-2.02482,-0.1,3.00084,2727
1252,1750951880559,2.3016,2.76911,-5.47,1.5266,-2.23089,-0.1,2.6266,2727
1253,1750951880609,2.48011,2.79735,-5.47,1.70511,-2.20265,-0.1,2.80511,2727
1254,1750951880660,2.67954,2.28887,-5.47,1.90454,-2.71113,-0.1,3.00454,2727
1255,1750951880714,3.68944,1.76961,-5.47,2.91444,-3.23039,-0.1,4.01444,2727
1256,1750951880763,2.56339,2.74969,-5.47,1.78839,-2.25031,-0.1,2.88839,2727
1257,1750951880809,3.97508,1.67478,-5.47,3.20008,-3.32522,-0.1,4.30008,2727
1258,1750951880859,3.22306,1.09413,-5.47,2.44806,-3.90587,-0.1,3.54806,2727
1259,1750951880911,3.60834,1.18213,-5.47,2.83334,-3.81787,-0.1,3.93334,2727
1260,1750951880960,1.88,1.32497,-5.47,1.105,-3.67503,-0.1,2.205,2727
1261,1750951881009,1.21249,1.46444,-5.47,0.437488,-3.53556,-0.1,1.53749,2727
1263,1750951881119,0.923773,1.38026,-5.47,0.148773,-3.61974,-0.1,1.24877,2727
1264,1750951881162,0.610702,1.29376,-5.47,-0.164298,-3.70624,-0.1,0.935702,2727
1265,1750951881208,0.493135,1.15831,-5.47,-0.281865,-3.84169,-0.1,0.818135,2727
1266,1750951881262,0.380771,0.801614,-5.47,-0.394229,-4.19839,-0.1,0.705771,2727
1268,1750951881359,1.19654,-0.29785,-5.47,0.421544,-5.29785,-0.1,1.52154,2727
1270,1750951881459,1.67052,-0.740702,-5.47,0.895516,-5.7407,-0.1,1.99552,2727
1271,1750951881515,1.00607,0.432451,-5.47,0.231067,-4.56755,-0.1,1.33107,2727
1272,1750951881562,1.33605,0.513771,-5.47,0.561047,-4.48623,-0.1,1.66105,2727
1273,1750951881614,1.55921,0.816198,-5.47,0.784206,-4.1838,-0.1,1.88421,2727
1274,1750951881661,1.3108,0.166206,-5.47,0.535803,-4.83379,-0.1,1.6358,2727
1275,1750951881715,3.69588,-0.445232,-5.47,2.92088,-5.44523,-0.1,4.02088,2727
1276,1750951881763,2.00853,0.586051,-5.47,1.23353,-4.41395,-0.1,2.33353,2727
1277,1750951881814,1.99003,-0.169761,-5.47,1.21503,-5.16976,-0.1,2.31503,2727
1278,1750951881874,3.74592,-0.74317,-5.47,2.97092,-5.74317,-0.1,4.07092,2727
1279,1750951881919,3.47926,-1.1332,-5.47,2.70426,-6.1332,-0.1,3.80426,2727
1280,1750951881963,2.14034,0.0819873,-5.47,1.36534,-4.91801,-0.1,2.46534,2727
1281,1750951882026,4.37369,-1.02513,-5.47,3.59869,-6.02513,-0.1,4.69869,2727
1282,1750951882068,1.78778,-0.578648,-5.47,1.01278,-5.57865,-0.1,2.11278,2727
1283,1750951882113,2.7694,-2.0322,-5.47,1.9944,-7.0322,-0.1,3.0944,2727
1284,1750951882164,1.37834,-0.806061,-5.47,0.603336,-5.80606,-0.1,1.70334,2727
1285,1750951882214,3.02328,-1.86975,-5.47,2.24828,-6.86975,-0.1,3.34828,2727
1286,1750951882261,1.62213,-1.16896,-5.47,0.847128,-6.16896,-0.1,1.94713,2727
1287,1750951882316,1.51082,-0.628024,-5.47,0.735817,-5.62802,-0.1,1.83582,2727
1288,1750951882364,1.35648,-1.06954,-5.47,0.581481,-6.06954,-0.1,1.68148,2727
1289,1750951882413,0.752946,-1.09733,-5.47,-0.022054,-6.09733,-0.1,1.07795,2727
