frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v,rpm
1565,1750951896227,-999.0,-999.0,816.0,874.5,2727
1566,1750951896284,-999.0,-999.0,816.0,873.75,2727
1567,1750951896329,-999.0,-999.0,816.25,873.0,2727
1568,1750951896378,-999.0,-999.0,816.25,874.75,2727
1569,1750951896429,-999.0,-999.0,816.5,873.75,2727
1570,1750951896477,-999.0,-999.0,815.75,874.5,2727
1571,1750951896528,-999.0,-999.0,816.75,873.75,2727
1572,1750951896583,-999.0,-999.0,815.5,873.0,2727
1573,1750951896628,-999.0,-999.0,815.25,874.0,2727
1574,1750951896680,-999.0,-999.0,816.75,873.5,2727
1575,1750951896731,-999.0,-999.0,815.25,874.5,2727
1576,1750951896778,-999.0,-999.0,816.25,874.5,2727
1577,1750951896831,-999.0,-999.0,816.5,873.75,2727
1578,1750951896879,-999.0,-999.0,815.5,874.5,2727
1579,1750951896929,-999.0,-999.0,816.25,873.5,2727
1580,1750951896984,-999.0,-999.0,815.0,873.5,2727
1581,1750951897032,-999.0,-999.0,817.0,874.0,2727
1582,1750951897079,-999.0,-999.0,817.0,874.0,2727
1583,1750951897129,-999.0,-999.0,816.0,873.75,2727
1584,1750951897178,-999.0,-999.0,817.0,874.0,2727
1585,1750951897230,-999.0,-999.0,816.75,874.25,2727
1586,1750951897279,-999.0,-999.0,816.0,873.75,2727
1587,1750951897329,-999.0,-999.0,816.0,873.5,2727
1588,1750951897379,-999.0,-999.0,815.5,873.0,2727
1589,1750951897432,-999.0,-999.0,816.5,874.5,2727
1590,1750951897479,-999.0,-999.0,815.75,873.25,2727
1591,1750951897532,-999.0,-999.0,816.25,873.0,2727
1592,1750951897580,-999.0,-999.0,817.0,873.75,2727
1593,1750951897644,-999.0,-999.0,815.5,874.75,2727
1594,1750951897683,-999.0,-999.0,816.5,873.0,2727
1595,1750951897730,-999.0,-999.0,816.5,874.25,2727
1596,1750951897794,-999.0,-999.0,816.5,873.25,2727
1597,1750951897834,-999.0,-999.0,815.75,873.5,2727
1598,1750951897885,-999.0,-999.0,816.0,874.0,2727
1599,1750951897931,-999.0,-999.0,814.75,874.25,2727
1600,1750951897981,-999.0,-999.0,816.5,873.75,2727
1601,1750951898037,-999.0,-999.0,815.25,874.75,2727
1602,1750951898082,-999.0,-999.0,816.0,874.25,2727
1603,1750951898132,-999.0,-999.0,816.75,874.25,2727
1604,1750951898190,-999.0,-999.0,816.75,873.75,2727
1605,1750951898232,-999.0,-999.0,815.75,874.0,2727
1606,1750951898282,-999.0,-999.0,816.25,874.25,2727
1607,1750951898336,-999.0,-999.0,816.0,874.5,2727
1608,1750951898382,-999.0,-999.0,816.5,874.75,2727
1609,1750951898437,-999.0,-999.0,816.25,874.75,2727
1610,1750951898483,-999.0,-999.0,817.25,874.0,2727
1611,1750951898542,-999.0,-999.0,815.5,875.5,2727
1612,1750951898584,-999.0,-999.0,816.0,874.5,2727
1613,1750951898633,-999.0,-999.0,815.75,875.0,2727
1614,1750951898683,-999.0,-999.0,816.0,874.25,2727
1615,1750951898733,-999.0,-999.0,815.75,873.5,2727
1616,1750951898786,-999.0,-999.0,814.5,873.75,2727
1617,1750951898834,-999.0,-999.0,816.75,873.0,2727
1618,1750951898886,-999.0,-999.0,815.25,873.0,2727
1619,1750951898934,-999.0,-999.0,816.25,874.0,2727
1620,1750951898984,-999.0,-999.0,816.25,873.5,2727
1621,1750951899035,-999.0,-999.0,815.75,874.75,2727
1622,1750951899086,-999.0,-999.0,816.25,873.5,2727
1623,1750951899133,-999.0,-999.0,816.75,875.0,2727
1624,1750951899185,-999.0,-999.0,815.75,872.75,2727
1625,1750951899234,-999.0,-999.0,816.25,874.5,2727
1626,1750951899286,-999.0,-999.0,817.25,874.75,2727
1627,1750951899336,-999.0,-999.0,815.75,873.75,2727
1628,1750951899385,-999.0,-999.0,815.25,873.75,2727
1629,1750951899435,-999.0,-999.0,816.75,874.0,2727
1630,1750951899488,-999.0,-999.0,816.75,874.75,2727
1631,1750951899536,-999.0,-999.0,815.25,873.5,2727
1632,1750951899586,-999.0,-999.0,816.0,875.25,2727
1633,1750951899635,-999.0,-999.0,817.0,874.25,2727
1634,1750951899686,-999.0,-999.0,815.75,874.0,2727
1635,1750951899736,-999.0,-999.0,816.75,873.25,2727
1636,1750951899790,-999.0,-999.0,816.5,874.25,2727
1637,1750951899836,-999.0,-999.0,816.25,874.0,2727
1638,1750951899886,-999.0,-999.0,817.0,874.25,2727
1639,1750951899938,-999.0,-999.0,816.5,874.5,2727
1640,1750951899989,-999.0,-999.0,816.25,872.5,2727
1641,1750951900036,-999.0,-999.0,816.0,874.25,2727
1642,1750951900086,-999.0,-999.0,815.25,873.75,2727
1643,1750951900137,-999.0,-999.0,816.5,873.75,2727
1644,1750951900190,-999.0,-999.0,817.0,875.5,2727
1645,1750951900243,-999.0,-999.0,817.0,874.75,2727
1646,1750951900290,-999.0,-999.0,816.75,873.75,2727
1647,1750951900338,-999.0,-999.0,816.75,874.25,2727
1648,1750951900389,-999.0,-999.0,816.5,873.75,2727
1649,1750951900439,-999.0,-999.0,816.25,874.5,2727
1650,1750951900490,-999.0,-999.0,816.25,873.25,2727
1651,1750951900545,-999.0,-999.0,815.75,874.0,2727
1652,1750951900589,-999.0,-999.0,816.0,873.25,2727
