frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v,rpm
1396,1750951707039,-999.0,-999.0,815.75,873.75,3131
1397,1750951707091,-999.0,-999.0,815.5,874.25,3131
1398,1750951707146,-999.0,-999.0,816.5,874.0,3131
1399,1750951707191,-999.0,-999.0,816.5,874.0,3131
1400,1750951707240,-999.0,-999.0,815.75,873.75,3131
1401,1750951707294,-999.0,-999.0,816.5,873.75,3131
1402,1750951707339,-999.0,-999.0,816.75,874.5,3131
1403,1750951707389,-999.0,-999.0,816.25,873.5,3131
1404,1750951707440,-999.0,-999.0,816.5,873.5,3131
1405,1750951707490,-999.0,-999.0,815.75,874.25,3131
1406,1750951707539,-999.0,-999.0,816.25,874.25,3131
1407,1750951707590,-999.0,-999.0,817.25,873.0,3131
1408,1750951707640,-999.0,-999.0,815.25,874.0,3131
1409,1750951707691,-999.0,-999.0,816.75,873.5,3131
1410,1750951707740,-999.0,-999.0,816.0,872.75,3131
1411,1750951707792,-999.0,-999.0,816.5,874.0,3131
1412,1750951707841,-999.0,-999.0,815.75,874.0,3131
1413,1750951707891,-999.0,-999.0,815.25,873.0,3131
1414,1750951707947,-999.0,-999.0,816.0,874.5,3131
1415,1750951707991,-999.0,-999.0,815.25,875.0,3131
1416,1750951708041,-999.0,-999.0,817.25,874.0,3131
1417,1750951708092,-999.0,-999.0,815.5,874.0,3131
1418,1750951708142,-999.0,-999.0,815.0,875.25,3131
1419,1750951708191,-999.0,-999.0,815.0,874.5,3131
1420,1750951708242,-999.0,-999.0,816.25,874.5,3131
1421,1750951708296,-999.0,-999.0,815.0,874.0,3131
1422,1750951708342,-999.0,-999.0,816.5,873.5,3131
1423,1750951708392,-999.0,-999.0,815.5,873.25,3131
1424,1750951708448,-999.0,-999.0,817.0,874.25,3131
1425,1750951708492,-999.0,-999.0,816.0,873.75,3131
1426,1750951708542,-999.0,-999.0,817.0,874.0,3131
1427,1750951708592,-999.0,-999.0,816.75,875.25,3131
1428,1750951708642,-999.0,-999.0,815.5,873.75,3131
1429,1750951708693,-999.0,-999.0,816.5,874.0,3131
1430,1750951708743,-999.0,-999.0,816.5,873.75,3131
1431,1750951708795,-999.0,-999.0,816.25,874.0,3131
1432,1750951708843,-999.0,-999.0,814.75,873.25,3131
1433,1750951708894,-999.0,-999.0,815.75,874.0,3131
1434,1750951708943,-999.0,-999.0,817.0,874.25,3131
1435,1750951708997,-999.0,-999.0,816.25,873.25,3131
1436,1750951709043,-999.0,-999.0,816.75,873.75,3131
1437,1750951709096,-999.0,-999.0,816.0,874.25,3131
1438,1750951709145,-999.0,-999.0,815.5,875.0,3131
1439,1750951709195,-999.0,-999.0,816.25,874.5,3131
1440,1750951709244,-999.0,-999.0,815.0,873.25,3131
1441,1750951709295,-999.0,-999.0,816.75,874.5,3131
1442,1750951709344,-999.0,-999.0,816.25,873.75,3131
1443,1750951709403,-999.0,-999.0,816.0,873.5,3131
1444,1750951709447,-999.0,-999.0,817.0,873.75,3131
1445,1750951709503,-999.0,-999.0,816.0,873.25,3131
1446,1750951709545,-999.0,-999.0,815.5,873.5,3131
1447,1750951709595,-999.0,-999.0,815.75,875.5,3131
1448,1750951709646,-999.0,-999.0,816.25,873.5,3131
1449,1750951709696,-999.0,-999.0,815.0,874.25,3131
1450,1750951709746,-999.0,-999.0,816.5,874.0,3131
1451,1750951709808,-999.0,-999.0,816.5,874.0,3131
1452,1750951709851,-999.0,-999.0,816.0,873.25,3131
1453,1750951709897,-999.0,-999.0,817.0,874.0,3131
1454,1750951709947,-999.0,-999.0,816.0,873.5,3131
1455,1750951710005,-999.0,-999.0,816.75,874.0,3131
1456,1750951710054,-999.0,-999.0,816.0,873.5,3131
1457,1750951710097,-999.0,-999.0,816.0,873.5,3131
1458,1750951710147,-999.0,-999.0,816.5,873.5,3131
1459,1750951710196,-999.0,-999.0,816.5,873.75,3131
1460,1750951710248,-999.0,-999.0,817.0,873.75,3131
1461,1750951710298,-999.0,-999.0,816.25,874.0,3131
1462,1750951710347,-999.0,-999.0,816.75,874.0,3131
1463,1750951710398,-999.0,-999.0,817.5,873.5,3131
1464,1750951710451,-999.0,-999.0,816.0,873.75,3131
1465,1750951710498,-999.0,-999.0,817.0,874.5,3131
1466,1750951710547,-999.0,-999.0,816.75,874.25,3131
1467,1750951710600,-999.0,-999.0,817.0,873.75,3131
1468,1750951710648,-999.0,-999.0,817.0,874.0,3131
1469,1750951710710,-999.0,-999.0,817.25,873.75,3131
1470,1750951710752,-999.0,-999.0,815.25,874.25,3131
1471,1750951710800,-999.0,-999.0,816.25,873.75,3131
1472,1750951710849,-999.0,-999.0,817.0,874.5,3131
1473,1750951710910,-999.0,-999.0,815.5,874.0,3131
1474,1750951710951,-999.0,-999.0,816.5,874.5,3131
1475,1750951710999,-999.0,-999.0,816.25,873.75,3131
1476,1750951711049,-999.0,-999.0,815.5,874.0,3131
1477,1750951711100,-999.0,-999.0,816.5,874.25,3131
1478,1750951711150,-999.0,-999.0,816.75,874.75,3131
1479,1750951711199,-999.0,-999.0,816.5,873.25,3131
1480,1750951711250,-999.0,-999.0,816.5,873.5,3131
1481,1750951711306,-999.0,-999.0,816.0,874.5,3131
1482,1750951711349,-999.0,-999.0,816.25,873.25,3131
1483,1750951711407,-999.0,-999.0,816.0,874.0,3131
1484,1750951711451,-999.0,-999.0,816.25,874.25,3131
1485,1750951711500,-999.0,-999.0,816.25,873.0,3131
1486,1750951711551,-999.0,-999.0,816.0,874.25,3131
1487,1750951711601,-999.0,-999.0,816.25,874.25,3131
1488,1750951711661,-999.0,-999.0,816.0,874.0,3131
1489,1750951711705,-999.0,-999.0,816.0,874.0,3131
1490,1750951711751,-999.0,-999.0,814.5,873.25,3131
1491,1750951711802,-999.0,-999.0,816.0,874.5,3131
1492,1750951711852,-999.0,-999.0,816.5,874.75,3131
1493,1750951711901,-999.0,-999.0,815.75,873.5,3131
1494,1750951711956,-999.0,-999.0,816.25,874.0,3131
1495,1750951712002,-999.0,-999.0,816.75,873.5,3131
1496,1750951712052,-999.0,-999.0,815.75,874.0,3131
1497,1750951712105,-999.0,-999.0,816.5,874.25,3131
1498,1750951712157,-999.0,-999.0,816.5,874.0,3131
1499,1750951712210,-999.0,-999.0,816.25,873.5,3131
1500,1750951712252,-999.0,-999.0,816.75,873.75,3131
1501,1750951712303,-999.0,-999.0,816.75,874.75,3131
1502,1750951712352,-999.0,-999.0,816.25,873.75,3131
1503,1750951712402,-999.0,-999.0,815.25,873.75,3131
1504,1750951712453,-999.0,-999.0,815.75,873.5,3131
1505,1750951712505,-999.0,-999.0,816.0,874.0,3131
1506,1750951712553,-999.0,-999.0,815.75,873.5,3131
1507,1750951712604,-999.0,-999.0,816.75,874.0,3131
1508,1750951712654,-999.0,-999.0,816.25,873.25,3131
1509,1750951712704,-999.0,-999.0,815.75,873.75,3131
1510,1750951712755,-999.0,-999.0,816.0,873.75,3131
1511,1750951712805,-999.0,-999.0,816.25,873.75,3131
1512,1750951712855,-999.0,-999.0,816.25,875.0,3131
1513,1750951712904,-999.0,-999.0,817.0,873.5,3131
1514,1750951712954,-999.0,-999.0,815.75,873.25,3131
1515,1750951713005,-999.0,-999.0,816.25,873.75,3131
1516,1750951713054,-999.0,-999.0,815.25,874.75,3131
1517,1750951713114,-999.0,-999.0,815.75,872.75,3131
1518,1750951713157,-999.0,-999.0,815.75,873.0,3131
1519,1750951713218,-999.0,-999.0,814.75,874.25,3131
1520,1750951713261,-999.0,-999.0,815.25,873.5,3131
1521,1750951713305,-999.0,-999.0,815.75,874.5,3131
1522,1750951713355,-999.0,-999.0,816.0,873.0,3131
1523,1750951713413,-999.0,-999.0,816.5,874.75,3131
1524,1750951713457,-999.0,-999.0,816.0,873.75,3131
1525,1750951713505,-999.0,-999.0,816.5,874.5,3131
1526,1750951713555,-999.0,-999.0,816.25,875.0,3131
1527,1750951713606,-999.0,-999.0,816.75,873.75,3131
1528,1750951713658,-999.0,-999.0,816.0,875.25,3131
1529,1750951713706,-999.0,-999.0,815.5,873.25,3131
1530,1750951713758,-999.0,-999.0,815.75,873.75,3131
1531,1750951713813,-999.0,-999.0,816.0,875.0,3131
1532,1750951713857,-999.0,-999.0,816.25,874.0,3131
1533,1750951713908,-999.0,-999.0,816.5,874.25,3131
1534,1750951713957,-999.0,-999.0,816.0,874.75,3131
1535,1750951714007,-999.0,-999.0,816.75,873.5,3131
1536,1750951714057,-999.0,-999.0,816.75,874.0,3131
1537,1750951714107,-999.0,-999.0,816.0,874.0,3131
1538,1750951714159,-999.0,-999.0,816.5,873.5,3131
1539,1750951714208,-999.0,-999.0,816.5,874.5,3131
1540,1750951714259,-999.0,-999.0,816.25,873.75,3131
1541,1750951714308,-999.0,-999.0,816.75,873.25,3131
1542,1750951714358,-999.0,-999.0,816.5,873.25,3131
1543,1750951714408,-999.0,-999.0,816.5,873.25,3131
1544,1750951714458,-999.0,-999.0,815.5,874.0,3131
1545,1750951714528,-999.0,-999.0,816.25,874.5,3131
1546,1750951714568,-999.0,-999.0,816.5,874.0,3131
1547,1750951714613,152.791,392.156,816.5,874.5,3131
1548,1750951714659,178.313,348.827,816.5,875.25,3131
1549,1750951714709,211.272,323.929,816.5,874.0,3131
1550,1750951714760,241.457,305.54,816.0,873.25,3131
1551,1750951714810,270.517,291.112,816.5,874.0,3131
1552,1750951714860,300.183,276.414,815.25,874.75,3131
1553,1750951714909,330.063,265.691,815.5,875.0,3131
1554,1750951714959,360.372,257.405,816.0,873.25,3131
1555,1750951715011,389.613,252.485,816.0,875.0,3131
1556,1750951715060,420.243,248.189,815.75,874.25,3131
1557,1750951715113,449.478,250.268,815.5,874.0,3131
1558,1750951715160,477.746,257.075,816.75,873.75,3131
1559,1750951715211,506.495,267.246,815.5,873.5,3131
1560,1750951715262,535.358,281.436,814.75,873.25,3131
1561,1750951715311,563.68,294.164,816.0,874.0,3131
1562,1750951715360,593.984,312.836,816.0,875.0,3131
1563,1750951715411,621.069,338.723,816.75,874.25,3131
1564,1750951715461,651.785,378.544,816.25,875.25,3131
1565,1750951715513,678.883,412.151,816.0,874.25,3131
1566,1750951715562,705.405,448.975,816.5,875.25,3131
1567,1750951715611,-999.0,-999.0,816.25,873.5,3131
1568,1750951715662,-999.0,-999.0,816.0,873.75,3131
1569,1750951715714,793.839,581.802,815.75,873.25,3131
1570,1750951715761,821.731,630.852,816.0,874.5,3131
1571,1750951715814,849.732,686.667,815.75,873.75,3131
1572,1750951715862,877.807,746.696,816.25,874.75,3131
1573,1750951715912,-999.0,-999.0,816.25,873.5,3131
1574,1750951715963,921.509,744.833,816.75,874.25,3131
1575,1750951716026,-999.0,-999.0,816.25,874.5,3131
1576,1750951716068,-999.0,-999.0,817.75,873.75,3131
1577,1750951716113,-999.0,-999.0,816.25,873.5,3131
1578,1750951716162,990.381,568.126,815.75,875.25,3131
1579,1750951716214,1008.15,533.638,816.75,874.0,3131
1580,1750951716263,1024.85,501.454,816.0,873.5,3131
1581,1750951716319,1039.61,471.138,816.0,873.0,3131
1582,1750951716363,1056.55,450.567,816.75,873.5,3131
1583,1750951716418,1074.27,429.864,815.75,873.5,3131
1584,1750951716463,1090.86,413.061,816.25,874.5,3131
1585,1750951716521,1108.67,401.992,816.0,873.25,3131
1586,1750951716564,1125.95,394.318,816.25,874.25,3131
1587,1750951716614,1142.75,389.389,815.5,873.5,3131
1588,1750951716666,1159.59,388.821,815.75,874.5,3131
1589,1750951716715,1176.58,391.978,816.0,873.25,3131
1590,1750951716764,1194.3,400.192,817.5,873.5,3131
1591,1750951716814,1211.62,413.042,815.25,874.75,3131
1592,1750951716867,1229.92,430.869,816.5,874.25,3131
