frame_id,timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
2036,1750951739151,2.84962,5.25819,-5.47,2.07462,0.258185,-0.1,3.17462,3131
2037,1750951739198,2.53573,3.99206,-5.47,1.76073,-1.00794,-0.1,2.86073,3131
2038,1750951739253,2.66212,4.00654,-5.47,1.88712,-0.993459,-0.1,2.98712,3131
2039,1750951739304,4.21972,3.06947,-5.47,3.44472,-1.93053,-0.1,4.54472,3131
2040,1750951739350,3.87079,2.54798,-5.47,3.09579,-2.45202,-0.1,4.19579,3131
2041,1750951739403,4.09166,2.18778,-5.47,3.31666,-2.81222,-0.1,4.41666,3131
2042,1750951739452,5.8657,3.31244,-5.47,5.0907,-1.68756,-0.1,6.1907,3131
2043,1750951739501,4.59389,2.41956,-5.47,3.81889,-2.58044,-0.1,4.91889,3131
2044,1750951739550,4.94369,2.36389,-5.47,4.16869,-2.63611,-0.1,5.26869,3131
2045,1750951739603,4.776,2.19792,-5.47,4.001,-2.80208,-0.1,5.101,3131
2046,1750951739650,2.93973,2.36067,-5.47,2.16473,-2.63933,-0.1,3.26473,3131
2047,1750951739700,3.19407,2.36872,-5.47,2.41907,-2.63128,-0.1,3.51907,3131
2048,1750951739751,4.54891,1.41945,-5.47,3.77391,-3.58055,-0.1,4.87391,3131
2049,1750951739800,3.44944,1.39145,-5.47,2.67444,-3.60855,-0.1,3.77444,3131
2050,1750951739850,2.82195,1.74987,-5.47,2.04695,-3.25013,-0.1,3.14695,3131
2051,1750951739903,4.55379,1.09374,-5.47,3.77879,-3.90626,-0.1,4.87879,3131
2052,1750951739953,2.96098,1.57722,-5.47,2.18598,-3.42278,-0.1,3.28598,3131
2053,1750951740003,2.83916,0.511606,-5.47,2.06416,-4.48839,-0.1,3.16416,3131
2054,1750951740054,3.44266,-0.116293,-5.47,2.66766,-5.11629,-0.1,3.76766,3131
2055,1750951740114,2.29641,1.19392,-5.47,1.52141,-3.80608,-0.1,2.62141,3131
2056,1750951740159,1.71137,0.945384,-5.47,0.936373,-4.05462,-0.1,2.03637,3131
2059,1750951740304,0.690352,0.187959,-5.47,-0.0846478,-4.81204,-0.1,1.01535,3131
2060,1750951740353,1.29288,-0.899009,-5.47,0.517884,-5.89901,-0.1,1.61788,3131
2061,1750951740405,2.15253,-0.522861,-5.47,1.37753,-5.52286,-0.1,2.47753,3131
2062,1750951740452,0.0254461,-0.586048,-5.47,-0.749554,-5.58605,-0.1,0.350446,3131
2063,1750951740504,-0.250509,-0.476444,-5.47,-1.02551,-5.47644,-0.1,0.0744911,3131
2064,1750951740552,0.257666,-0.342553,-5.47,-0.517334,-5.34255,-0.1,0.582666,3131
2067,1750951740704,1.10865,-0.391436,-5.47,0.333648,-5.39144,-0.1,1.43365,3131
2068,1750951740753,1.35277,-0.937002,-5.47,0.577769,-5.937,-0.1,1.67777,3131
2069,1750951740805,3.58605,-1.66337,-5.47,2.81105,-6.66337,-0.1,3.91105,3131
2070,1750951740853,1.52178,-1.26309,-5.47,0.746784,-6.26309,-0.1,1.84678,3131
2071,1750951740906,1.50466,-1.36519,-5.47,0.72966,-6.36519,-0.1,1.82966,3131
2072,1750951740953,3.38289,-2.16371,-5.47,2.60789,-7.16371,-0.1,3.70789,3131
2073,1750951741008,4.01319,-2.29238,-5.47,3.23819,-7.29238,-0.1,4.33819,3131
2074,1750951741056,2.33189,-1.07046,-5.47,1.55689,-6.07046,-0.1,2.65689,3131
2075,1750951741106,2.50507,-2.02493,-5.47,1.73007,-7.02493,-0.1,2.83007,3131
2076,1750951741152,2.18551,-1.56407,-5.47,1.41051,-6.56407,-0.1,2.51051,3131
2077,1750951741204,2.25778,-2.06465,-5.47,1.48278,-7.06465,-0.1,2.58278,3131
2078,1750951741256,3.65147,-2.99438,-5.47,2.87647,-7.99438,-0.1,3.97647,3131
2079,1750951741308,1.92836,-2.10813,-5.47,1.15336,-7.10813,-0.1,2.25336,3131
2080,1750951741355,1.91142,-2.12488,-5.47,1.13642,-7.12488,-0.1,2.23642,3131
2081,1750951741406,1.7388,-2.20726,-5.47,0.963805,-7.20726,-0.1,2.0638,3131
2082,1750951741457,2.04853,-1.74592,-5.47,1.27353,-6.74592,-0.1,2.37353,3131
