frame_id,timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
664,1750951569109,2.88264,3.27401,-5.47,2.10764,-1.72599,-0.1,3.20764,3333
665,1750951569159,4.42664,4.27538,-5.47,3.65164,-0.724619,-0.1,4.75164,3333
666,1750951569208,2.83726,3.97251,-5.47,2.06226,-1.02749,-0.1,3.16226,3333
667,1750951569261,3.32014,4.60563,-5.47,2.54514,-0.394369,-0.1,3.64514,3333
668,1750951569312,4.34737,3.13777,-5.47,3.57237,-1.86223,-0.1,4.67237,3333
669,1750951569365,3.88154,4.31043,-5.47,3.10654,-0.689574,-0.1,4.20654,3333
670,1750951569410,4.92445,2.99256,-5.47,4.14945,-2.00744,-0.1,5.24945,3333
675,1750951569664,3.94142,2.61654,-5.47,3.16642,-2.38346,-0.1,4.26642,3333
676,1750951569709,3.6176,2.17185,-5.47,2.8426,-2.82815,-0.1,3.9426,3333
677,1750951569767,3.65855,2.26153,-5.47,2.88355,-2.73847,-0.1,3.98355,3333
678,1750951569811,3.21942,1.92754,-5.47,2.44442,-3.07246,-0.1,3.54442,3333
679,1750951569860,3.4208,1.9378,-5.47,2.6458,-3.0622,-0.1,3.7458,3333
680,1750951569916,2.76133,1.34541,-5.47,1.98633,-3.65459,-0.1,3.08633,3333
681,1750951569961,3.17185,1.10527,-5.47,2.39685,-3.89473,-0.1,3.49685,3333
682,1750951570011,2.75702,1.10598,-5.47,1.98202,-3.89402,-0.1,3.08202,3333
683,1750951570058,3.92965,0.364405,-5.47,3.15465,-4.6356,-0.1,4.25465,3333
684,1750951570112,2.26451,0.84641,-5.47,1.48951,-4.15359,-0.1,2.58951,3333
686,1750951570211,3.01776,-0.516,-5.47,2.24276,-5.516,-0.1,3.34276,3333
687,1750951570260,2.37291,-0.702946,-5.47,1.59791,-5.70295,-0.1,2.69791,3333
688,1750951570311,1.02676,0.0969238,-5.47,0.251758,-4.90308,-0.1,1.35176,3333
689,1750951570361,1.93105,-1.2443,-5.47,1.15605,-6.2443,-0.1,2.25605,3333
692,1750951570519,0.730118,-1.56883,-5.47,-0.0448823,-6.56883,-0.1,1.05512,3333
693,1750951570560,1.70481,-1.3597,-5.47,0.929806,-6.3597,-0.1,2.02981,3333
694,1750951570611,-0.254403,-0.870715,-5.47,-1.0294,-5.87072,-0.1,0.0705966,3333
695,1750951570665,0.0649005,-0.836144,-5.47,-0.710099,-5.83614,-0.1,0.389901,3333
696,1750951570713,0.575694,-0.907773,-5.47,-0.199306,-5.90777,-0.1,0.900694,3333
697,1750951570762,1.12201,-1.02195,-5.47,0.347006,-6.02195,-0.1,1.44701,3333
698,1750951570813,1.08463,-1.11794,-5.47,0.309629,-6.11794,-0.1,1.40963,3333
699,1750951570864,1.4865,-1.75535,-5.47,0.711502,-6.75535,-0.1,1.8115,3333
700,1750951570912,1.68393,-1.35096,-5.47,0.908925,-6.35096,-0.1,2.00893,3333
701,1750951570968,2.02411,-0.941331,-5.47,1.24911,-5.94133,-0.1,2.34911,3333
702,1750951571013,1.59273,-1.50986,-5.47,0.817725,-6.50986,-0.1,1.91773,3333
703,1750951571066,2.90296,-2.76128,-5.47,2.12796,-7.76128,-0.1,3.22796,3333
704,1750951571112,3.75706,-2.80059,-5.47,2.98206,-7.80059,-0.1,4.08206,3333
705,1750951571165,3.45742,-3.1784,-5.47,2.68242,-8.1784,-0.1,3.78242,3333
706,1750951571215,2.40472,-1.61088,-5.47,1.62972,-6.61088,-0.1,2.72972,3333
707,1750951571265,2.62284,-2.51646,-5.47,1.84784,-7.51646,-0.1,2.94784,3333
708,1750951571326,3.70207,-3.18142,-5.47,2.92707,-8.18142,-0.1,4.02707,3333
709,1750951571368,3.33213,-3.1817,-5.47,2.55713,-8.1817,-0.1,3.65713,3333
710,1750951571417,1.69121,-2.39587,-5.47,0.916206,-7.39587,-0.1,2.01621,3333
711,1750951571465,3.28781,-3.05096,-5.47,2.51281,-8.05096,-0.1,3.61281,3333
712,1750951571516,2.79258,-3.41472,-5.47,2.01758,-8.41472,-0.1,3.11758,3333
713,1750951571566,3.21865,-2.84439,-5.47,2.44365,-7.84439,-0.1,3.54365,3333
714,1750951571617,0.844775,-2.41702,-5.47,0.0697748,-7.41702,-0.1,1.16977,3333
715,1750951571665,1.61756,-3.26291,-5.47,0.842562,-8.26291,-0.1,1.94256,3333
716,1750951571716,0.399092,-2.31208,-5.47,-0.375908,-7.31208,-0.1,0.724092,3333
717,1750951571764,0.334672,-1.77794,-5.47,-0.440328,-6.77794,-0.1,0.659672,3333
718,1750951571815,-0.0779218,-2.81578,-5.47,-0.852922,-7.81578,-0.1,0.247078,3333
