frame_id,timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
330,1750950936079,4.15042,1.57034,-5.47,3.37542,-3.42966,-0.1,4.47542,3636
331,1750950936204,3.85535,1.24147,-5.47,3.08035,-3.75853,-0.1,4.18035,3636
332,1750950936320,3.28147,0.809747,-5.47,2.50647,-4.19025,-0.1,3.60647,3636
333,1750950936447,3.00317,0.505066,-5.47,2.22817,-4.49493,-0.1,3.32817,3636
334,1750950936572,2.24458,-0.103796,-5.47,1.46958,-5.1038,-0.1,2.56958,3636
335,1750950936694,1.74542,-0.248236,-5.47,0.970421,-5.24824,-0.1,2.07042,3636
336,1750950936813,0.9329,-1.14615,-5.47,0.1579,-6.14615,-0.1,1.2579,3636
337,1750950936935,0.692962,-1.34032,-5.47,-0.0820384,-6.34032,-0.1,1.01796,3636
338,1750950937056,0.13387,-1.55711,-5.47,-0.64113,-6.55711,-0.1,0.45887,3636
340,1750950937295,1.30127,-2.29392,-5.47,0.526273,-7.29392,-0.1,1.62627,3636
341,1750950937413,1.61239,-2.60298,-5.47,0.837389,-7.60298,-0.1,1.93739,3636
342,1750950937534,1.71824,-2.70694,-5.47,0.943237,-7.70694,-0.1,2.04324,3636
343,1750950937658,2.11496,-2.81699,-5.47,1.33996,-7.81699,-0.1,2.43996,3636
344,1750950937780,1.86347,-2.82337,-5.47,1.08847,-7.82337,-0.1,2.18847,3636
348,1750950938264,0.0858569,-2.5907,-5.47,-0.689143,-7.5907,-0.1,0.410857,3636
349,1750950938388,0.0489955,-2.59458,-5.47,-0.726005,-7.59458,-0.1,0.373995,3636
353,1750950938878,1.25303,-3.22245,-5.47,0.478031,-8.22245,-0.1,1.57803,3636
354,1750950939000,1.47802,-3.38062,-5.47,0.703021,-8.38062,-0.1,1.80302,3636
355,1750950939123,1.18661,-3.47465,-5.47,0.411612,-8.47465,-0.1,1.51161,3636
359,1750950939617,0.398677,-2.75776,-5.47,-0.376323,-7.75776,-0.1,0.723677,3636
361,1750950939857,0.581514,-3.31122,-5.47,-0.193486,-8.31122,-0.1,0.906514,3636
362,1750950939986,1.84464,-4.59705,-5.47,1.06964,-9.59705,-0.1,2.16964,3636
363,1750950940117,0.977699,-3.44507,-5.47,0.202699,-8.44507,-0.1,1.3027,3636
364,1750950940244,1.18211,-3.31162,-5.47,0.407107,-8.31162,-0.1,1.50711,3636
365,1750950940370,0.908664,-3.10504,-5.47,0.133664,-8.10504,-0.1,1.23366,3636
