frame_id,timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
138,1750952162308,3.73889,3.87028,-5.47,2.96389,-1.12972,-0.1,4.06389,3939
139,1750952162434,2.48637,3.50984,-5.47,1.71137,-1.49016,-0.1,2.81137,3939
141,1750952162682,3.88926,2.3361,-5.47,3.11426,-2.6639,-0.1,4.21426,3939
142,1750952162806,6.24019,2.26615,-5.47,5.46519,-2.73385,-0.1,6.56519,3939
143,1750952162938,4.16698,2.44327,-5.47,3.39198,-2.55673,-0.1,4.49198,3939
144,1750952163060,4.80144,0.615223,-5.47,4.02644,-4.38478,-0.1,5.12644,3939
145,1750952163188,5.68491,0.476624,-5.47,4.90991,-4.52338,-0.1,6.00991,3939
146,1750952163312,3.20658,0.868227,-5.47,2.43158,-4.13177,-0.1,3.53158,3939
147,1750952163436,2.3698,-0.0379744,-5.47,1.5948,-5.03797,-0.1,2.6948,3939
148,1750952163564,1.28938,-0.644412,-5.47,0.514376,-5.64441,-0.1,1.61438,3939
149,1750952163693,1.56611,-2.37309,-5.47,0.791107,-7.37309,-0.1,1.89111,3939
150,1750952163822,-0.612253,-1.06379,-5.47,-1.38725,-6.06379,-0.1,-0.287253,3939
153,1750952164203,3.38421,-3.2809,-5.47,2.60921,-8.2809,-0.1,3.70921,3939
154,1750952164334,3.68756,-3.46062,-5.47,2.91256,-8.46062,-0.1,4.01256,3939
