frame_id,timestamp_ms,x,y,z,new_x,new_y,new_z,height_m,rpm
82,1750951383868,2.564,3.96336,-5.47,1.789,-1.03664,-0.1,2.889,2929
83,1750951383918,2.56967,4.67847,-5.47,1.79467,-0.321527,-0.1,2.89467,2929
84,1750951383971,2.68452,4.39067,-5.47,1.90952,-0.609329,-0.1,3.00952,2929
85,1750951384023,2.95283,4.47479,-5.47,2.17783,-0.525207,-0.1,3.27783,2929
86,1750951384071,3.16703,4.54016,-5.47,2.39203,-0.459839,-0.1,3.49203,2929
87,1750951384123,3.21767,4.29391,-5.47,2.44267,-0.70609,-0.1,3.54267,2929
88,1750951384174,5.20506,3.34368,-5.47,4.43006,-1.65632,-0.1,5.53006,2929
89,1750951384222,3.19813,3.17157,-5.47,2.42313,-1.82843,-0.1,3.52313,2929
90,1750951384270,2.91975,3.40218,-5.47,2.14475,-1.59782,-0.1,3.24475,2929
91,1750951384325,4.01859,1.8164,-5.47,3.24359,-3.1836,-0.1,4.34359,2929
92,1750951384375,4.0351,1.86766,-5.47,3.2601,-3.13234,-0.1,4.3601,2929
93,1750951384431,3.05804,2.04613,-5.47,2.28304,-2.95387,-0.1,3.38304,2929
94,1750951384472,3.00833,2.66488,-5.47,2.23333,-2.33512,-0.1,3.33333,2929
95,1750951384523,3.79547,1.00612,-5.47,3.02047,-3.99388,-0.1,4.12047,2929
96,1750951384575,2.17566,2.01327,-5.47,1.40066,-2.98673,-0.1,2.50066,2929
97,1750951384620,4.78943,1.54135,-5.47,4.01443,-3.45865,-0.1,5.11443,2929
98,1750951384678,2.311,1.6417,-5.47,1.536,-3.3583,-0.1,2.636,2929
99,1750951384723,3.33299,0.881225,-5.47,2.55799,-4.11878,-0.1,3.65799,2929
100,1750951384775,2.17202,1.25794,-5.47,1.39702,-3.74206,-0.1,2.49702,2929
101,1750951384843,3.86885,0.950061,-5.47,3.09385,-4.04994,-0.1,4.19385,2929
102,1750951384886,1.46856,1.3783,-5.47,0.693556,-3.6217,-0.1,1.79356,2929
103,1750951384927,1.12027,0.99691,-5.47,0.34527,-4.00309,-0.1,1.44527,2929
108,1750951385174,1.41944,-0.715542,-5.47,0.644443,-5.71554,-0.1,1.74444,2929
109,1750951385224,1.01733,-0.916453,-5.47,0.242327,-5.91645,-0.1,1.34233,2929
110,1750951385283,1.79884,-0.816041,-5.47,1.02384,-5.81604,-0.1,2.12384,2929
111,1750951385328,1.28064,0.765941,-5.47,0.505638,-4.23406,-0.1,1.60564,2929
112,1750951385384,1.13477,-0.0176088,-5.47,0.359771,-5.01761,-0.1,1.45977,2929
113,1750951385428,0.968486,-0.345362,-5.47,0.193486,-5.34536,-0.1,1.29349,2929
114,1750951385474,1.35133,-0.319753,-5.47,0.576334,-5.31975,-0.1,1.67633,2929
115,1750951385525,1.84877,-1.11924,-5.47,1.07377,-6.11924,-0.1,2.17377,2929
116,1750951385575,3.12128,-1.31211,-5.47,2.34628,-6.31211,-0.1,3.44628,2929
117,1750951385630,1.61336,-0.843808,-5.47,0.838361,-5.84381,-0.1,1.93836,2929
118,1750951385677,1.69391,-0.881768,-5.47,0.91891,-5.88177,-0.1,2.01891,2929
119,1750951385727,3.33508,-1.80782,-5.47,2.56008,-6.80782,-0.1,3.66008,2929
120,1750951385777,3.44538,-2.17388,-5.47,2.67038,-7.17388,-0.1,3.77038,2929
121,1750951385830,3.04676,-2.36578,-5.47,2.27176,-7.36578,-0.1,3.37176,2929
122,1750951385878,2.27396,-0.953074,-5.47,1.49896,-5.95307,-0.1,2.59896,2929
123,1750951385930,2.04202,-1.4292,-5.47,1.26702,-6.4292,-0.1,2.36702,2929
124,1750951385987,1.91168,-1.21232,-5.47,1.13668,-6.21232,-0.1,2.23668,2929
125,1750951386032,3.28692,-2.45267,-5.47,2.51192,-7.45267,-0.1,3.61192,2929
126,1750951386080,2.65707,-0.836574,-5.47,1.88207,-5.83657,-0.1,2.98207,2929
127,1750951386130,1.65965,-1.64913,-5.47,0.884648,-6.64913,-0.1,1.98465,2929
128,1750951386176,1.77995,-1.08924,-5.47,1.00495,-6.08924,-0.1,2.10495,2929
129,1750951386228,3.61247,-2.50957,-5.47,2.83747,-7.50957,-0.1,3.93747,2929
131,1750951386328,2.75264,-2.86379,-5.47,1.97764,-7.86379,-0.1,3.07764,2929
132,1750951386382,0.605522,-2.12417,-5.47,-0.169478,-7.12417,-0.1,0.930522,2929
133,1750951386428,0.472573,-2.20656,-5.47,-0.302427,-7.20656,-0.1,0.797573,2929
134,1750951386477,1.80323,-3.12485,-5.47,1.02823,-8.12485,-0.1,2.12823,2929
