frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v,rpm
1919,1750951913978,-999.0,-999.0,815.25,874.0,2727
1920,1750951914025,-999.0,-999.0,815.5,873.75,2727
1921,1750951914077,-999.0,-999.0,816.5,874.0,2727
1922,1750951914126,-999.0,-999.0,816.5,873.5,2727
1923,1750951914179,-999.0,-999.0,816.0,872.75,2727
1924,1750951914225,-999.0,-999.0,815.75,873.0,2727
1925,1750951914275,-999.0,-999.0,816.0,875.25,2727
1926,1750951914325,-999.0,-999.0,815.25,873.75,2727
1927,1750951914381,-999.0,-999.0,815.75,875.0,2727
1928,1750951914426,-999.0,-999.0,815.75,873.75,2727
1929,1750951914478,-999.0,-999.0,815.75,873.75,2727
1930,1750951914530,-999.0,-999.0,816.5,874.5,2727
1931,1750951914576,-999.0,-999.0,816.5,873.75,2727
1932,1750951914627,-999.0,-999.0,816.25,874.0,2727
1933,1750951914677,-999.0,-999.0,816.75,873.75,2727
1934,1750951914731,-999.0,-999.0,816.5,873.5,2727
1935,1750951914777,-999.0,-999.0,817.0,873.25,2727
1936,1750951914828,-999.0,-999.0,816.25,873.25,2727
1937,1750951914877,-999.0,-999.0,815.5,872.75,2727
1938,1750951914928,-999.0,-999.0,816.5,874.0,2727
1939,1750951914979,-999.0,-999.0,816.5,875.0,2727
1940,1750951915028,-999.0,-999.0,816.5,873.75,2727
1941,1750951915081,-999.0,-999.0,815.75,874.75,2727
1942,1750951915136,-999.0,-999.0,816.75,874.0,2727
1943,1750951915178,-999.0,-999.0,816.5,874.25,2727
1944,1750951915229,-999.0,-999.0,815.75,873.0,2727
1945,1750951915284,-999.0,-999.0,816.0,874.25,2727
1946,1750951915330,-999.0,-999.0,816.5,873.75,2727
1947,1750951915379,-999.0,-999.0,817.0,873.75,2727
1948,1750951915428,-999.0,-999.0,815.5,874.25,2727
1949,1750951915478,-999.0,-999.0,815.0,873.75,2727
1950,1750951915530,-999.0,-999.0,816.25,872.5,2727
1951,1750951915580,-999.0,-999.0,815.0,874.0,2727
1952,1750951915630,-999.0,-999.0,816.5,873.25,2727
1953,1750951915679,-999.0,-999.0,816.25,873.5,2727
1954,1750951915729,-999.0,-999.0,816.25,874.25,2727
1955,1750951915780,-999.0,-999.0,815.5,874.0,2727
1956,1750951915830,-999.0,-999.0,815.5,874.0,2727
