frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v,rpm
110,1750951470978,-999.0,-999.0,816.5,875.0,3636
111,1750951471103,-999.0,-999.0,815.75,875.0,3636
112,1750951471234,-999.0,-999.0,815.75,874.0,3636
113,1750951471364,-999.0,-999.0,815.75,873.75,3636
114,1750951471494,-999.0,-999.0,816.75,873.5,3636
115,1750951471623,-999.0,-999.0,816.0,875.25,3636
116,1750951471756,-999.0,-999.0,814.5,874.25,3636
117,1750951471881,-999.0,-999.0,816.25,874.0,3636
118,1750951472006,-999.0,-999.0,815.75,873.5,3636
119,1750951472135,-999.0,-999.0,816.0,874.25,3636
120,1750951472258,-999.0,-999.0,816.25,874.25,3636
121,1750951472381,-999.0,-999.0,815.25,873.75,3636
122,1750951472505,-999.0,-999.0,815.5,874.25,3636
123,1750951472634,-999.0,-999.0,815.25,873.25,3636
124,1750951472758,-999.0,-999.0,816.5,873.75,3636
125,1750951472886,-999.0,-999.0,816.25,874.0,3636
126,1750951473015,-999.0,-999.0,815.25,874.0,3636
127,1750951473144,-999.0,-999.0,816.75,873.25,3636
128,1750951473272,-999.0,-999.0,815.75,874.0,3636
129,1750951473400,-999.0,-999.0,815.5,873.75,3636
130,1750951473532,-999.0,-999.0,816.75,873.25,3636
131,1750951473654,-999.0,-999.0,815.25,873.0,3636
132,1750951473782,-999.0,-999.0,816.5,873.75,3636
133,1750951473912,-999.0,-999.0,816.25,874.0,3636
134,1750951474042,-999.0,-999.0,815.75,873.5,3636
135,1750951474170,-999.0,-999.0,814.25,873.0,3636
136,1750951474297,-999.0,-999.0,815.25,874.25,3636
137,1750951474426,-999.0,-999.0,816.25,873.75,3636
138,1750951474550,-999.0,-999.0,816.25,874.0,3636
139,1750951474675,-999.0,-999.0,816.0,874.25,3636
140,1750951474804,-999.0,-999.0,814.75,874.0,3636
141,1750951474936,-999.0,-999.0,815.5,875.25,3636
142,1750951475072,-999.0,-999.0,815.25,874.0,3636
143,1750951475199,-999.0,-999.0,815.0,874.25,3636
144,1750951475325,-999.0,-999.0,816.5,873.0,3636
145,1750951475455,-999.0,-999.0,815.75,874.25,3636
146,1750951475583,-999.0,-999.0,816.25,874.5,3636
147,1750951475708,-999.0,-999.0,816.25,874.25,3636
148,1750951475832,-999.0,-999.0,817.25,874.25,3636
149,1750951475959,-999.0,-999.0,816.25,873.25,3636
150,1750951476088,-999.0,-999.0,817.0,873.25,3636
151,1750951476212,-999.0,-999.0,815.25,874.5,3636
152,1750951476340,-999.0,-999.0,815.75,872.75,3636
153,1750951476465,-999.0,-999.0,816.0,873.5,3636
154,1750951476593,-999.0,-999.0,816.0,874.75,3636
155,1750951476724,170.732,332.57,816.25,874.25,3636
156,1750951476847,266.062,241.785,816.75,872.75,3636
157,1750951476980,-999.0,-999.0,816.5,873.25,3636
158,1750951477112,435.276,127.777,815.75,874.25,3636
159,1750951477243,526.881,107.289,816.25,874.0,3636
160,1750951477377,587.749,118.266,816.25,873.75,3636
161,1750951477501,680.09,154.122,814.75,873.0,3636
162,1750951477632,769.279,247.238,816.5,873.75,3636
163,1750951477763,830.585,300.528,816.0,873.5,3636
164,1750951477895,923.258,441.968,816.0,874.5,3636
165,1750951478027,984.056,546.337,816.25,872.5,3636
166,1750951478151,1077.12,734.89,816.5,873.75,3636
167,1750951478277,1122.44,741.621,815.75,873.75,3636
168,1750951478401,-999.0,-999.0,816.0,873.25,3636
169,1750951478526,1211.09,500.97,817.0,875.0,3636
170,1750951478658,1264.72,404.197,815.25,874.0,3636
171,1750951478790,1296.11,377.985,815.75,873.25,3636
172,1750951478913,1303.44,407.229,816.25,874.25,3636
173,1750951479038,1314.84,476.947,815.5,873.75,3636
174,1750951479169,-999.0,-999.0,816.0,873.5,3636
175,1750951479292,-999.0,-999.0,816.0,873.75,3636
176,1750951479421,1344.43,758.774,816.75,874.0,3636
