frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v,rpm
478,1750952010667,-999.0,-999.0,816.25,874.0,2525
479,1750952010790,-999.0,-999.0,814.75,874.75,2525
480,1750952010919,-999.0,-999.0,816.0,873.5,2525
481,1750952011050,-999.0,-999.0,817.0,873.5,2525
482,1750952011179,-999.0,-999.0,817.0,873.75,2525
483,1750952011308,-999.0,-999.0,816.25,874.25,2525
484,1750952011436,-999.0,-999.0,815.5,873.25,2525
485,1750952011567,-999.0,-999.0,816.25,874.25,2525
486,1750952011697,-999.0,-999.0,816.0,874.0,2525
487,1750952011826,-999.0,-999.0,816.5,874.0,2525
488,1750952011949,-999.0,-999.0,815.5,874.25,2525
489,1750952012074,-999.0,-999.0,815.75,874.0,2525
490,1750952012198,-999.0,-999.0,817.0,873.25,2525
491,1750952012327,-999.0,-999.0,815.25,873.25,2525
492,1750952012450,-999.0,-999.0,815.75,873.25,2525
493,1750952012576,-999.0,-999.0,816.0,873.5,2525
494,1750952012707,-999.0,-999.0,816.75,874.0,2525
495,1750952012838,-999.0,-999.0,814.75,874.25,2525
496,1750952012959,-999.0,-999.0,816.75,872.75,2525
497,1750952013090,-999.0,-999.0,815.5,873.5,2525
498,1750952013213,-999.0,-999.0,816.0,875.25,2525
499,1750952013337,-999.0,-999.0,815.75,873.5,2525
500,1750952013459,-999.0,-999.0,816.0,874.0,2525
501,1750952013585,-999.0,-999.0,815.75,874.25,2525
502,1750952013710,156.418,421.421,815.5,874.5,2525
503,1750952013835,208.153,386.412,816.0,873.5,2525
504,1750952013959,286.461,364.008,815.75,873.75,2525
505,1750952014091,361.989,379.342,817.0,874.25,2525
506,1750952014221,413.114,410.958,817.25,874.25,2525
507,1750952014341,488.207,482.526,815.5,874.0,2525
508,1750952014472,540.047,549.442,815.5,874.5,2525
509,1750952014595,616.571,660.972,816.5,874.25,2525
510,1750952014721,665.694,772.762,815.25,872.75,2525
511,1750952014849,709.208,695.775,816.25,874.25,2525
512,1750952014978,-999.0,-999.0,816.25,874.0,2525
513,1750952015097,778.711,534.949,816.75,874.5,2525
514,1750952015219,806.132,497.314,815.75,874.75,2525
515,1750952015348,846.692,469.144,816.25,873.75,2525
516,1750952015477,874.981,470.517,816.25,873.25,2525
