frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v,rpm
858,1750951153052,-999.0,-999.0,818.0,873.5,2929
859,1750951153106,-999.0,-999.0,817.0,874.25,2929
860,1750951153154,-999.0,-999.0,816.5,874.0,2929
861,1750951153203,-999.0,-999.0,816.0,874.0,2929
862,1750951153253,-999.0,-999.0,817.5,874.0,2929
863,1750951153304,-999.0,-999.0,816.75,873.5,2929
864,1750951153354,-999.0,-999.0,816.75,873.75,2929
865,1750951153413,-999.0,-999.0,816.75,873.75,2929
866,1750951153455,-999.0,-999.0,815.75,873.75,2929
867,1750951153504,-999.0,-999.0,816.25,873.75,2929
868,1750951153562,-999.0,-999.0,815.25,874.75,2929
869,1750951153604,-999.0,-999.0,816.0,874.75,2929
870,1750951153659,-999.0,-999.0,816.75,874.0,2929
871,1750951153705,-999.0,-999.0,816.0,874.75,2929
872,1750951153755,-999.0,-999.0,817.25,873.75,2929
873,1750951153804,-999.0,-999.0,816.25,874.5,2929
874,1750951153855,-999.0,-999.0,816.5,874.0,2929
875,1750951153904,-999.0,-999.0,817.25,873.0,2929
876,1750951153955,-999.0,-999.0,817.25,873.5,2929
877,1750951154006,-999.0,-999.0,816.25,874.0,2929
878,1750951154055,-999.0,-999.0,817.5,874.75,2929
879,1750951154106,-999.0,-999.0,817.25,873.5,2929
880,1750951154155,-999.0,-999.0,816.5,873.75,2929
881,1750951154206,-999.0,-999.0,816.5,873.25,2929
882,1750951154256,-999.0,-999.0,816.5,873.75,2929
883,1750951154308,-999.0,-999.0,816.25,873.75,2929
884,1750951154357,-999.0,-999.0,816.5,874.25,2929
885,1750951154406,-999.0,-999.0,817.25,874.0,2929
886,1750951154455,-999.0,-999.0,816.75,874.25,2929
887,1750951154507,-999.0,-999.0,818.25,874.5,2929
888,1750951154556,-999.0,-999.0,818.0,872.75,2929
889,1750951154607,-999.0,-999.0,816.5,874.25,2929
890,1750951154658,-999.0,-999.0,817.5,875.0,2929
891,1750951154708,-999.0,-999.0,815.5,873.75,2929
892,1750951154757,-999.0,-999.0,817.25,873.0,2929
893,1750951154809,-999.0,-999.0,816.75,873.75,2929
894,1750951154858,-999.0,-999.0,816.75,873.5,2929
895,1750951154907,-999.0,-999.0,816.5,872.25,2929
896,1750951154958,-999.0,-999.0,816.5,873.0,2929
897,1750951155008,-999.0,-999.0,816.75,874.5,2929
898,1750951155060,-999.0,-999.0,816.0,874.5,2929
899,1750951155108,-999.0,-999.0,816.5,874.25,2929
900,1750951155160,-999.0,-999.0,815.5,874.5,2929
901,1750951155213,-999.0,-999.0,817.0,873.75,2929
902,1750951155259,-999.0,-999.0,816.5,873.25,2929
903,1750951155309,-999.0,-999.0,817.25,874.0,2929
904,1750951155359,-999.0,-999.0,815.75,873.75,2929
905,1750951155409,-999.0,-999.0,815.75,874.25,2929
906,1750951155459,-999.0,-999.0,817.0,874.0,2929
907,1750951155511,-999.0,-999.0,817.0,874.0,2929
908,1750951155559,-999.0,-999.0,816.5,873.25,2929
909,1750951155612,-999.0,-999.0,816.5,874.25,2929
910,1750951155661,-999.0,-999.0,816.25,874.5,2929
911,1750951155709,-999.0,-999.0,817.25,873.5,2929
912,1750951155761,-999.0,-999.0,816.25,873.0,2929
913,1750951155810,-999.0,-999.0,817.0,873.25,2929
914,1750951155860,-999.0,-999.0,817.5,874.25,2929
915,1750951155911,-999.0,-999.0,816.25,874.5,2929
916,1750951155960,-999.0,-999.0,816.75,874.25,2929
917,1750951156010,-999.0,-999.0,817.0,873.5,2929
918,1750951156072,-999.0,-999.0,815.5,873.75,2929
919,1750951156113,-999.0,-999.0,817.25,873.5,2929
920,1750951156165,-999.0,-999.0,815.75,873.75,2929
921,1750951156211,-999.0,-999.0,817.5,873.25,2929
922,1750951156261,-999.0,-999.0,816.75,874.25,2929
923,1750951156314,-999.0,-999.0,816.25,873.25,2929
924,1750951156525,-999.0,-999.0,816.75,873.75,2929
925,1750951156652,-999.0,-999.0,816.0,873.5,2929
926,1750951156778,-999.0,-999.0,817.0,874.5,2929
927,1750951156909,-999.0,-999.0,816.25,874.25,2929
928,1750951157043,-999.0,-999.0,816.75,874.0,2929
929,1750951157177,-999.0,-999.0,817.5,875.0,2929
930,1750951157312,-999.0,-999.0,816.0,874.25,2929
931,1750951157442,-999.0,-999.0,817.0,874.25,2929
932,1750951157575,-999.0,-999.0,817.5,874.5,2929
933,1750951157708,-999.0,-999.0,817.25,874.25,2929
934,1750951157835,-999.0,-999.0,817.25,873.75,2929
935,1750951157969,-999.0,-999.0,817.0,873.5,2929
936,1750951158103,-999.0,-999.0,817.0,874.0,2929
937,1750951158237,-999.0,-999.0,816.5,874.25,2929
938,1750951158370,-999.0,-999.0,817.25,873.5,2929
939,1750951158500,-999.0,-999.0,817.25,875.25,2929
940,1750951158631,-999.0,-999.0,817.25,874.75,2929
941,1750951158764,-999.0,-999.0,817.75,872.75,2929
942,1750951158892,155.222,399.312,816.25,873.5,2929
943,1750951159021,239.592,322.788,816.75,873.5,2929
944,1750951159154,289.053,304.128,818.25,872.75,2929
945,1750951159279,372.237,297.858,817.25,874.75,2929
946,1750951159406,-999.0,-999.0,817.0,873.0,2929
947,1750951159531,508.414,349.052,817.25,873.5,2929
948,1750951159658,562.059,409.663,817.25,874.5,2929
949,1750951159781,-999.0,-999.0,816.75,873.75,2929
950,1750951159906,696.5,606.875,816.75,873.0,2929
951,1750951160035,769.461,760.752,816.75,873.75,2929
952,1750951160165,-999.0,-999.0,816.5,873.5,2929
953,1750951160298,867.568,608.71,816.5,873.75,2929
954,1750951160423,916.112,513.405,816.5,874.75,2929
955,1750951160550,951.428,468.896,817.25,873.75,2929
956,1750951160675,1005.22,433.598,815.75,874.0,2929
957,1750951160804,1041.12,428.394,816.75,873.25,2929
958,1750951160931,1096.71,450.888,816.5,873.75,2929
959,1750951161066,1133.87,486.729,817.0,874.25,2929
960,1750951161197,-999.0,-999.0,817.0,874.0,2929
961,1750951161321,1232.9,652.027,816.5,873.5,2929
962,1750951161445,1286.64,779.418,817.5,873.5,2929
963,1750951161572,1324.39,729.682,816.25,873.75,2929
964,1750951161709,-999.0,-999.0,818.0,874.0,2929
965,1750951161839,-999.0,-999.0,817.5,873.75,2929
966,1750951161970,-999.0,-999.0,817.25,874.25,2929
967,1750951162097,-999.0,-999.0,816.5,873.0,2929
968,1750951162226,-999.0,-999.0,817.25,873.0,2929
